id,Description,qa_note
shrine-of-akhund-panju-baba,"## Overview

The shrine of Akhund Panju Baba stands at Akbarpura, a town in Nowshera District of Khyber Pakhtunkhwa, in the historic Peshawar valley. It honours *Hazrat Syed Abdul Wahab*, known to all as *Akhund Panju Baba*, a Sufi and preacher remembered as one of the great teachers of Islam in the Pashtun country during the reign of the Mughal emperor Akbar (1556-1605). Tradition holds that many were guided to Islam through him, and that his circle of disciples included some of the most notable saints of the region — among them, it is said, *Bahadur Baba*, the father of the celebrated *Kaka Sahib* of Nowshera, so that Akhund Panju Baba stands near the head of a whole genealogy of Pashtun Sufi teachers. His tomb at Akbarpura, together with the historic mosque associated with him — a Mughal-era foundation reckoned to be some four centuries old — forms a shrine complex attended by thousands of devotees, who gather especially at the annual *urs* to seek his blessing. Set amid the fields and orchards of the Nowshera plain, the shrine is a characteristic example of the Sufi *ziyarat* of Khyber Pakhtunkhwa, where the memory of the early preacher-saints remains woven into the devotional life of the surrounding villages. Its enduring draw testifies to the reverence in which Akhund Panju Baba is held as a founder of the region's Islamic learning and as the spiritual ancestor of a line of saints whose shrines dot the valley.

## A Second Source, a Different Locality

A general compendium of Pakistani Sufi saints separately records an ""Akhund Panju Baba"" whose shrine it places at Misri Pura, in Peshawar Sadar — a different named locality from Akbarpura, Nowshera District, where this entry's other sourcing places the shrine. That compendium gives a specific origin for the name: it states that opponents mockingly nicknamed him ""Panju"" (""five"") for his insistence on preaching the five pillars of Islam, and that the name stuck. It does not give his birth name, and does not mention Bahadur Baba or Kaka Sahib. Whether this is the same saint remembered with a variant locality tradition, or a distinct Pashtun preacher who happened to share the same by-name — ""Akhund [X] Baba"" is a common honorific pattern in the region — is not resolvable from these two sources alone, and is reported here rather than silently merged.

## Bibliography

- Alam Faqri, *Tazkirah Awliya-e-Pakistan*, vol. 2 (Lahore) — compendium of the saints of Pakistan.","A second source (a general tazkira/compendium of Pakistani saints) describes an ""Akhund Panju Baba"" at Misri Pura, Peshawar Sadar, with a different name-origin story (a mocking nickname for preaching the five pillars of Islam) than this entry's existing sourcing (Akbarpura, Nowshera District; real name Hazrat Syed Abdul Wahab). The two accounts do not name the same locality and do not corroborate each other's specific details. Not resolved as the same or different individuals — reported as an open question. All pre-existing detail in this entry (Bahadur Baba/Kaka Sahib lineage, Mughal-era mosque dating, etc.) predates this session and has no traceable citation of its own; the tazkira citation added here supports only the Misri Pura material in the new second section."
shrine-of-baba-shah-chiragh,"## Overview

Set beside the Lahore High Court on The Mall, in the shadow of the colonial-era Aiwan-e-Auqaf building that now bears its name, the shrine of Baba Shah Chiragh commemorates Syed Abdul Razzaq, a Sufi of the Qadiri lineage who traced his descent to Sheikh Abdul Qadir Gilani of Baghdad and whose family originated from Uch in what is now Bahawalpur. Given the honorific ""Chiragh,"" meaning lamp, by his grandfather Hazrat Abdul Qadir Sani, he flourished during the reign of the Mughal emperor Shah Jahan and died in 1657 CE. His mausoleum was constructed by imperial order of Aurangzeb, and an adjoining mosque was added later, in 1716, under the patronage of Lahore's Mughal viceroy Zakariya Khan during the reign of Muhammad Shah Rangeela. The mausoleum, built of limestone on a square plan in restrained Mughal style, contains eight graves in total, including those of Shah Chiragh's father and grandfather, making it a multi-generational family shrine rather than a single tomb. Its façades feature cusped-arch niches and panelled cartouches, while the interior retains traces of floral fresco decoration. In the late nineteenth century the surrounding precinct was absorbed into the grand Indo-Saracenic Aiwan-e-Auqaf complex, built by the British administration between 1875 and 1880, which today houses the offices and library of the Auqaf Department — the same body that has administered the shrine since 1973. Though it lacks the international renown of some of Lahore's other Sufi sites, the shrine is formally catalogued as a protected heritage monument by the Punjab Directorate General of Archaeology, and its distinctive Mughal fabric, set incongruously amid the bureaucratic buildings of modern Lahore, makes it a quietly significant survival from the city's seventeenth-century religious landscape.

## Corroborating Sources

An independent English-language academic study of Sufis and pre-colonial Muslim rulers in India, consulted separately from the tazkira below, states in passing that ""Aurangzeb gave importance to some other Shari minded Qadri sufi, like Shah Chiragh whose tomb was constructed by Aurangzeb"" — corroborating, from an independent scholarly source, this entry's existing claim that Aurangzeb ordered the mausoleum built. (The paper's own full citation details were not recoverable from the OCR text at hand; this should be verified against the original PDF before being treated as a fully resolved citation.) A general compendium of Pakistani Sufi saints separately notes, in its entry on the nearby shrine of Mauj Darya Bukhari, that Mauj Darya Bukhari's own grave lies inside Shah Chiragh's mausoleum complex — a detail about the physical site not previously recorded here.

## Bibliography

- Alam Faqri, *Tazkirah Awliya-e-Pakistan*, vol. 2 (Lahore) — compendium of the saints of Pakistan.
- Academic study of Sufis and pre-colonial Muslim rulers of India (full citation to be confirmed from source PDF) — corroborates the Aurangzeb construction date.","Two new sources found and added: an English-language academic paper corroborating the existing Aurangzeb-construction claim (its exact author/title/year need pulling from the original PDF — the OCR text only preserved the footnote text, not the paper's front matter), and a general Urdu tazkira noting that Mauj Darya Bukhari's shrine sits inside this complex. All the specific architectural detail in the original paragraph (eight graves, cusped-arch niches, 1716 mosque addition, Directorate General of Archaeology listing) predates this session and still has no traceable citation of its own."
shrine-of-hafiz-muhammad-jamal-multani,"## Overview

The shrine of *Hafiz Muhammad Jamal Multani* is among the most historically important Sufi mausolea of Multan, the ""city of saints"", and marks the resting place of the man traditionally credited with establishing the *Chishti* order firmly in the city. Born at Multan around 1747 (1160 AH) and dying in 1811, Hafiz Jamal was a disciple of *Khwaja Noor Muhammad Maharvi*, a leading Chishti master of the region, and became a renowned teacher and poet in his own right, composing in Arabic, Persian and Siraiki; his *Siharfi*, an acrostic poem of the Punjabi–Siraiki tradition, is his best-known literary work. His tomb, near the Aam Khas Bagh outside the historic Daulat Gate, is a fine piece of late-Mughal funerary architecture: a square chamber rising to a twelve-sided drum and a hemispherical dome. It is especially valued because it preserves original Mughal-era wall paintings — a rarity, since the murals of most such monuments have been lost to whitewash and renovation. The shrine remains an active centre of devotion, with an annual *urs* commemorating the saint and continuous visitation by those seeking blessing, and it forms part of the dense sacred geography of Multan alongside the great shrines of Bahauddin Zakariya, Shah Rukn-e-Alam and Shah Shams Sabzwari.

## Corroborating Source

A general compendium of Pakistani Sufi saints independently corroborates this entry's central claim, stating plainly that Hafiz Muhammad Jamal Multani was ""the first elder to lay the foundation of the Chishtia order"" in Multan, and confirms his shrine's location in the city.

## Bibliography

- Alam Faqri, *Tazkirah Awliya-e-Pakistan*, vol. 1 (Lahore) — compendium of the saints of Pakistan.","Added an independent citation corroborating the existing claim that this figure first established the Chishti order in Multan. The specific biographical/architectural detail (birth year, Siharfi authorship, wall-painting preservation) predates this session and has no traceable citation of its own; the tazkira supports only the Chishti-founding claim and the shrine's location."
shrine-of-makhdoom-nooh-hala,"## Overview

The Shrine of Makhdoom Nooh at Hala, a town some fifty-six kilometres north-east of Hyderabad in Sindh, honours one of the most revered saints and scholars of the province. Makhdoom Lutufullah, universally known as Makhdoom Nooh — and often as Makhdoom Sarwar Nooh — is generally dated to the sixteenth century, with tradition placing his birth around 1500-1505 and his death about 1590. A Sufi of the *Suhrawardi* order, honoured also with an Uwaisi spiritual lineage, he is remembered as the founder of the *Sarwari* branch of the order in Sindh, and above all as the first religious scholar of the region to render the Holy Quran into Persian, an achievement that secured his lasting fame. He was buried near his native village close to Halakandi, but the shifting of the Indus twice compelled the relocation of his remains — to Mula Sanwani about 1601, and again, in 1777, to the site of new Hala, where his mausoleum now stands. The shrine is the spiritual heart of Hala, a town long associated with the *Makhdoom* saintly lineage, with Sufi devotional music and with the celebrated blue-and-white *Kashi* pottery of the region. It draws devotees throughout the year and hosts an annual *urs* in the saint's memory.

## Corroborating Source

A general compendium of Pakistani Sufi saints independently confirms his real name as Lutfullah and his title as Makhdoom Nooh, and states that he died at the age of 87 — consistent with this entry's existing dating (birth c.1500-1505, death c.1590, which implies an age of roughly 85-90). It describes his shrine at ""Hala Kandi"" as a major place of pilgrimage, matching this entry's account of the saint's original burial place near Halakandi.

## Bibliography

- Alam Faqri, *Tazkirah Awliya-e-Pakistan*, vol. 2 (Lahore) — compendium of the saints of Pakistan.","Added a corroborating citation: an independent tazkira gives the same real name (Lutfullah) and an age at death (87) consistent with this entry's existing birth/death year estimates. The relocation history (to Mula Sanwani 1601, to new Hala 1777) and the Sarwari/Uwaisi lineage detail predate this session and have no traceable citation of their own."
shrine-of-mauj-darya-bukhari,"Tucked away on Edward Road near the old Customs House in Anarkali, the octagonal tomb of Hazrat Meeran Muhammad Shah Bukhari — popularly called ""Mauj Darya,"" or ""Wave of the River"" — commemorates a saint born in 1533 in Uch Sharif, the son of Safi-ud-Din Bukhari of the Sadaat of that town, a descendant of Jalaluddin Surkh-Posh Bukhari whose genealogy is traced through Syed Jalal-ud-Din Jahaniyan Jahangasht, and an adherent of the Suhrawardi silsila founded by Bahauddin Zakariya of Multan. He became a hafiz-e-Quran in his youth and, according to popular tradition, earned his epithet by miraculously diverting the flood-prone River Ravi away from Lahore; he is remembered, too, as a missionary presence who drew many Hindus and Sikhs to Islam.

Above all he is remembered as a spiritual confidant of the Mughal emperor Akbar. The shrine's tradition relates that the emperor was foretold — through the saint's father — of a windstorm and a lit lamp that would mark the saint's presence at the fort of Chittor; when both signs appeared and the Rajput army surrendered, Akbar became his disciple. Alam Faqri's *Tazkirah Awliya-e-Pakistan* preserves an independent, extended telling of this same episode — giving the saint's given name as Miran Muhammad Shah, tracing his descent from Makhdoom Jahaniyan Jahangasht and his origins in Uch Sharif, and recounting at length how his prayer and intercession were credited with securing the fort's surrender to Akbar — corroborating, from a separate hagiographical compendium, the tradition already recorded at the shrine. Legend credits him with distributing to the poor a substantial reward Akbar granted him near Batala, and it is said that on the saint's arrival in Lahore the emperor gifted the land on which he settled; his darasgah — the seat of learning where he now lies buried — is said still to hold land documents bearing Akbar's own signature. He died in 1604, the date traditionally taken as the founding of the shrine.

He married twice. His first wife, Syedna Bibi Fatima Sani — remembered as ""Bibi Killah,"" and popularly as Mai Fatima — bore him two sons and rests in a separate shrine facing his own, near the historic Jain Mandir; a second wife bore a third son, of whom tradition tells that he could take the form of a lion. The saint lies in a small graveyard in the company of his family, his spiritual successors and gaddi nasheen, and his cook, Allahu Samad — himself the subject of one of the shrine's most striking tales, in which the saint, to answer sceptics, had his cook sit unharmed in a burning cauldron. Other wonders are recounted of him: a cauldron of rice he blessed during a shortage that fed the people for nearly seven days; brackish irrigation water over which he prayed for local landowners, which turned sweet; and a tree planted in his lifetime — ""the blessed tree"" — said never to have needed cutting. His langar, devotees say, has continued under his descendants to this day.

Architecturally the tomb is unusual among Lahore's shrines for its octagonal plan, with a low dome, corner towers at each of its eight angles, and a mixture of recessed blind arches and plain panelled facades — a style thought to echo Multani funerary tradition. The shrine gained unwelcome national attention in 2018 when construction of the Orange Line Metro Train's underground Anarkali station demolished its mosque, langar khana and courtyard, with tunnelling reported to pass close to the saint's grave in apparent violation of heritage buffer-zone regulations — an episode that became a flashpoint in Lahore's debates over balancing infrastructure development against protection of religious heritage. Yet devotees hold that for all the government construction pressing around it, nothing has ever tarnished the shrine's beauty.

The shrine remains one of scores of Lahore shrines administered by the Punjab Auqaf and Religious Affairs Department (Mehkama Auqaf), and continues to draw a devoted following. Daily devotion includes the recitation of the Fatiha, the lighting of diyas, the making of vows (mannat) and the presentation of niyaz, and the gatherings of Thursday night (Jummay Raat) remain the busiest of the week. The annual urs is held on the 17th to the 19th of Rabi-ul-Awal, with a Mela Chiraagha (festival of lights), the ceremonial washing (gusal) of the tomb and the changing of its chadar, and langar throughout; some 2,200 to 2,500 visitors are recorded on an ordinary day, rising to between 225,000 and 300,000 across the urs.

## Bibliography

- Alam Faqri, *Tazkirah Awliya-e-Pakistan*, vol. 2 (Lahore) — compendium of the saints of Pakistan.",
shrine-of-mian-umar-baba-chamkani,"The shrine of Mian Muhammad Umar Baba lies at Chamkani, a village on the eastern outskirts of Peshawar about seven kilometres from the old city. Mian Umar (traditionally 1671-1776) was a Sufi of the Naqshbandi order — a scholar, poet, social reformer, and historian who is counted, together with Akhund Darweza Baba and the warrior-poet Khushal Khan Khattak, among the great literary and spiritual figures of the Mughal-era Pashtun frontier. Said to have been born near Lahore and to have lived to a great age, he attracted disciples from every rank of society; tradition holds that even Ahmad Shah Abdali (Durrani), the founder of the Afghan kingdom, visited him and became his devotee. Alam Faqri's *Tazkirah Awliya-e-Pakistan* gives a specific account of his death — in the month of Rajab, 1119 AH (approximately 1707-1708 CE) — and records his burial at the village of Chamkani, three miles from Peshawar, consistent with the shrine's location as given above; that date, however, falls roughly seven decades earlier than the 1776 death year given elsewhere in this entry, and the discrepancy is left unresolved here, with both figures reported rather than reconciled. His tomb at Chamkani grew into a shrine and khanqah that remains a place of resort for the surrounding population, drawing its largest crowds at the annual urs, held over the first Wednesday and Thursday of the Islamic month of Rajab, when devotees gather for sermons, collective dhikr, and na'at, and the langar (free kitchen) is served. Like a number of Sufi shrines in Khyber Pakhtunkhwa, the site was targeted in militant attacks during the years of insurgency in the region, but it endures as an active centre of devotion. It complements the nearby shrine of the saint's contemporary Akhund Darweza Baba, also recorded in this dataset.

## Bibliography

- Alam Faqri, *Tazkirah Awliya-e-Pakistan*, vol. 2 (Lahore) — compendium of the saints of Pakistan.","Alam Faqri's *Tazkirah Awliya-e-Pakistan* (vol. 2) records the saint's death in Rajab 1119 AH (approximately 1707-1708 CE), roughly seven decades earlier than the 1776 death year already carried in this entry's Founded/Opened and figure_died fields (traditional lifespan 1671-1776). The two dates conflict and have not been reconciled; both are reported in the Description pending further sourcing."
shrine-of-miran-hussain-zanjani-zanjani-sahib,"In the old riverside locality of Chah Miran, named directly in his honour, stands the tomb of Syed Miran Hussain Zanjani, one of the earliest Muslim missionary figures associated with Lahore. A Hussaini Syed born in 958 CE in Zanjan, in present-day Iran, he travelled to Lahore around 998 CE on the instruction of his spiritual master, Sheikh Abu al-Fazal Khatil, and is remembered to have preached in the city for some thirty-six years, converting large numbers of its inhabitants to Islam well before the Ghaznavid and later Mughal periods reshaped the region's religious landscape. He died in 1042 CE and was buried alongside his brother, Hazrat Musa Hussain Zanjani, whose own shrine lies nearby. The tomb, unusually for a site of such antiquity, rests on a simple raised platform without a dome, standing within what was once a dedicated garden named for the saint — a modest architectural footprint that belies its historical significance as one of Lahore's oldest surviving Islamic devotional sites, predating by centuries the grander Mughal-era shrines for which the city is more widely known. The shrine is formally recognised and maintained by the Punjab Auqaf and Religious Affairs Department, and continues to host an annual urs drawing local devotees, alongside its role as the namesake and spiritual anchor of the surrounding Chah Miran neighbourhood on the historic bank of the River Ravi near the old walled city. As one of the earliest attested Sufi graves in the Lahore region, the shrine offers valuable testimony to the gradual, missionary-led spread of Islam in Punjab in the centuries before the Delhi Sultanate and Mughal empire.

A substantial chapter devoted to the saint in Alam Faqri's *Tazkirah Awliya-e-Pakistan* traces his family's descent from Imam Musa Kazim through the Zanjan line, and preserves one of Lahore's best-known early Sufi foundation stories: that Ali Hujwiri (Data Ganj Bakhsh) was instructed by his own pir to travel to Lahore and preach, and replied that his senior ""pir-brother,"" Hazrat Shaikh Hussain Zanjani, was already established in the city — only to arrive and find Zanjani's funeral procession already under way. The tazkira's account casts Zanjani as the elder of the two missionary saints credited with Lahore's early Islamization, his death preceding the arrival of the more widely celebrated Data Ganj Bakhsh.

## Bibliography

- Alam Faqri, *Tazkirah Awliya-e-Pakistan*, vol. 1 (Lahore) — compendium of the saints of Pakistan.",
peer-makki,"Standing close to the great mausoleum of Data Ganj Bakhsh, in the Walled City's Bhati Gate quarter, the shrine of Peer Makki commemorates Hazrat Syed Azizuddin al-Hassani wal-Hussaini, a scholar-mystic born in Baghdad — the son of Hazrat Peer Syed Abdullah, of a Hasani-Hussaini family of religious scholars that counted Junaid Baghdadi, Imam Ahmad bin Hanbal and Sheikh Abdul Qadir Jilani among its kin. He is said to have migrated to Mecca in 562 AH, at about the age of thirty, and to have spent twelve years there in ascetic seclusion — hence his popular title ""Makki"" — before journeying overland to India. Hagiographical accounts hold that he arrived in Lahore in 575 AH (around 1178 CE) by what tradition describes as divine instruction, and remained for some thirty-six years as a teacher of both the exoteric sciences of Islamic law and the esoteric path of the Junaidi Sufi lineage, tracing back to the classical Baghdad master Junayd. He is said to have died in 612 AH (1215 CE). Alam Faqri's *Tazkirah Awliya-e-Pakistan* preserves the same broad outline — his given name Azizuddin, his Baghdad origin, and the twelve years spent in seclusion at Mecca that earned him the epithet ""Makki"" — and adds that on first reaching Lahore he went directly to the shrine of Data Ganj Bakhsh before settling at the site that became his own; the detail reinforces, without resolving, the chronological tension already noted below between the two saints' conventional dates.

A well-loved anecdote recalls that during Sultan Muhammad Ghori's 1178 siege of Lahore, the besieged governor Khusro Malik sought Peer Makki's prayers, and the saint assured him of six further years of safety. Devotional custom in Lahore holds that pilgrims should pay their respects at Peer Makki's tomb before proceeding to Data Darbar, honouring him as a spiritual forerunner in the same sacred locale — although the popular claim that he personally tutored Data Ganj Bakhsh sits awkwardly with the conventional dating of Ali Hujwiri's death around 1072, a century before Peer Makki's own arrival, and should be understood as devotional tradition rather than strict chronology. A tradition recorded at the shrine itself runs the other way about: when Ali Hujwiri was ordered to migrate to Lahore, he is said to have objected that ""Peer Makki is present there, who is enough for Lahore"" — only to arrive and find Peer Makki's funeral already underway. Like the tutoring claim, the story fits loosely with the dates, but it carries the shrine's essential teaching: that Lahore has never been without a saint of Allah.

The shrine complex includes an adjoining mosque, the Hazrat Pir Makki Masjid, and is formally administered, like Data Darbar itself, by the Punjab Auqaf and Religious Affairs Department; its tradition is Syed and Ahl-e-Sunnat. Despite its proximity to one of Pakistan's most visited shrines, Peer Makki's own tomb receives markedly fewer pilgrims — some 3,500 to 4,000 on an ordinary day — giving it a more intimate, contemplative atmosphere, though Thursday-night gatherings draw larger crowds, and the narrow street and surrounding Peer Makki Bazaar can make access difficult. The annual urs, held on the 9th to the 11th of Rabi-ul-Awal, fills the quarter with gatherings and dhikr, drums and dhamal, qawwali, the ritual bathing of the shrine and the distribution of offerings, and draws on the order of 400,000 to 500,000 devotees. Many writers — including, it is said at the shrine, authors from the Hindu and Christian communities — have written books about the saint that are still read with interest today.

## Bibliography

- Alam Faqri, *Tazkirah Awliya-e-Pakistan*, vol. 1 (Lahore) — compendium of the saints of Pakistan.",
shrine-of-pir-baba-syed-ali-tirmizi,"The Shrine of Pir Baba at Pacha Kalay, in the mountainous Buner District of Khyber Pakhtunkhwa, honours *Syed Ali Tirmizi* (c. 1502–1583), the Sufi saint universally known as *Pir Baba*, one of the most revered holy figures of the Pashtun lands. Of *Sayyid* descent, he was traditionally said to have been born at Tirmiz in Central Asia (in present-day Uzbekistan) — though some accounts instead give Fergana as his birthplace — and, according to tradition, came to the region in the train of the Mughal advance, settling at Pacha in Buner around the middle of the sixteenth century. From there his spiritual influence spread widely, and he is remembered as a supporter of the early Mughals — the emperor Humayun is said to have granted him lands in Kunar — and as an opponent of the heterodox teacher Bayazid Ansari, the ""Pir Roshan."" A separate compendium of Pakistani Sufi saints, Alam Faqri's *Tazkirah Awliya-e-Pakistan*, gives his fuller name as Syed Ali Ghawwas Tirmizi and names Akhund Darweza — the Peshawar-based Chishti saint venerated at the Shrine of Akhund Darweza Baba elsewhere in this archive — as his most renowned khalifa (successor). His green-domed mausoleum, which also holds the grave of his son Syed Habibullah, became the nucleus of a devotional complex; an adjoining mosque was raised in the twentieth century, between about 1938 and 1965, under the care of his descendants. The shrine draws great crowds of pilgrims, above all at the annual *urs* commemorating the saint, held from 24 to 26 of the Islamic month of Rajab. Its prominence made it a target during the militancy that afflicted the region: in December 2008 militants attacked the shrine, destroying religious inscriptions and hoardings, and in 2009 it was briefly closed when Taliban fighters seized control of Buner, before being reopened as security was restored. It remains among the most important Sufi shrines of Khyber Pakhtunkhwa.

## Bibliography

- Alam Faqri, *Tazkirah Awliya-e-Pakistan*, vol. 1 (Lahore) — compendium of the saints of Pakistan.",
shrine-of-shah-abdul-karim-bulri,"The Shrine of Shah Abdul Karim stands at Bulri, the town in Tando Muhammad Khan district that bears his name — Bulri Shah Karim — and honours one of the earliest and most influential of the Sindhi Sufi poets. Shah Abdul Karim (1536–1623) was born into a Sayyid family of Matiari but spent most of his life at Bulri, from which he takes his epithet. He is remembered as a mystic of simple, laborious life and as a pioneer of Sindhi devotional verse: he was among the first to weave the folk romances of the land — *Sasui and Punhun*, *Sohni and Mehar*, *Umar and Marui*, *Leela and Chanesar* — into poetry expressing the soul's longing for the Divine, a method later brought to its summit by his celebrated great-great-grandson, Shah Abdul Latif Bhittai. A separate source, Alam Faqri's *Tazkirah Awliya-e-Pakistan*, instead calls him Bhittai's great-grandfather (three generations, not four) and adds that he was himself a disciple (*murid*) of Makhdoom Nooh of Hala before settling and preaching at Bulri — the two sources are recorded here as given, without picking one generational count over the other. His sayings and verses were first gathered by a disciple, Mir Daryai Tharawi, in the Persian work *Bayan al-Arifin*, completed in 1630, seven years after the poet's death. Tradition holds that Shah Abdul Latif Bhittai himself stayed two years at Bulri and supervised the building of the shrine complex, laying the foundation of the tomb and its three-domed mosque about 1741 (1154 AH). The dargah remains a vibrant place of devotion, and its annual *urs* draws thousands of pilgrims.

## Bibliography

- Alam Faqri, *Tazkirah Awliya-e-Pakistan*, vol. 2 (Lahore) — compendium of the saints of Pakistan.","Generational-distance conflict between sources, not resolved: this entry's existing sourcing calls Shah Abdul Latif Bhittai the saint's great-great-grandson (4 generations); Alam Faqri's tazkira instead calls the saint Bhittai's great-grandfather (3 generations). Both are stated in the Description rather than one being silently preferred."
