id,Description,qa_note
bhai-waliram-darbar,"## Overview

In Digano Mahesar, a small village in Miro Khan taluka of Qambar–Shahdadkot District in upper Sindh, stands the darbar of Bhai Waliram, a Nanakpanthi sant remembered locally as a contemporary of the better-documented Vali Vilayat Rai of Kambar and Swami Dharmdas of Larkana. As with much of this cluster of small Sindhi Nanakpanthi shrines, next to nothing has been preserved in published sources about Bhai Waliram's own dates, teachings, or the founding of his darbar.

## Present State

The site is recorded chiefly in Zulfiqar Ali Kalhoro's surveys of Sindh's Nanakpanthi saints, which place Bhai Waliram among a wider constellation of nineteenth- and early-twentieth-century Nanakpanthi teachers of the Larkana country, without further biographical detail. Its precise founding date, architecture, and present congregation remain undocumented pending a dedicated local or gazetteer source, and this entry should be read as a provisional, lightly-sourced record rather than an established history.

A 2018 profile of the region's Nanakpanthi saints for *The Friday Times*, drawing on Kalhoro's fieldwork, names Bhai Waliram directly as ""another famous Nanakpanthi saint"" and confirms Digano Mahesar village in Miro Khan taluka as the site of his darbar — though, consistent with the gap already noted above, the article gives no dates, no account of an *urs* or festival, and no description of the building itself.

## Bibliography

- Zulfiqar Ali Kalhoro, published surveys of Nanakpanthi saints and shrines of Sindh.
- Zulfiqar Ali Kalhoro, ""Nanakpanthi Saints of Sindh,"" *The Friday Times*, 13 April 2018.","This addition rests on a single independently-verified source (Zulfiqar Ali Kalhoro, ""Nanakpanthi Saints of Sindh,"" The Friday Times, 13 April 2018) and has not yet been corroborated. That source confirms Bhai Waliram's Nanakpanthi identity and the village/taluka location but does not itself verify the Qambar–Shahdadkot district attribution already carried in this entry's Description."
chandragup-baba-chandragup,"## Overview

Chandragup, a mud volcano rising from the arid coastal hills of Hingol National Park in Lasbela District, is one of the most sacred halting-points on the annual Hinglaj Yatra, the pilgrimage that draws Hindu devotees across the Kirthar and Makran hills to the shrine of Hinglaj Mata. Known devotionally as Baba Chandragup, the cone is venerated as an abode associated with Shiva, and its periodic eruptions of cold, sulphurous mud are read by pilgrims as auspicious signs.

## The Hinglaj Yatra

During the annual four-day Hinglaj Yatra, held each April, pilgrims halt at Chandragup to fast, keep vigil through the night, and make offerings — coconuts, sweets, flags and coins pressed into the soft mud — before resuming their journey onward to the Hinglaj Mata Temple itself, the yatra's principal destination. The mountain's veneration is of unrecorded antiquity, attested only in the living pilgrimage tradition rather than in any dated textual source.

## A Natural Site Within a Devotional Landscape

Unlike most entries in this collection, Chandragup is not a constructed temple but a natural geological feature — one of several mud volcanoes in the Hingol region — whose sanctity derives entirely from its place within the Hinglaj pilgrimage route. It is filed here under ""Hindu Temple"" for consistency with the dataset's schema, though it is best understood as a sacred halting-place rather than a built shrine.

Press accounts of the pilgrimage add further devotional detail: an image of Shiva marks the volcano's flanks, and pilgrims traditionally ask the god's permission there before continuing on to visit Sati at the Hinglaj Mata shrine itself. The climb to the rim is reported as physically demanding — muddy and steep, with heat and dust causing some pilgrims to slip or faint from exhaustion — and coconuts are thrown into the crater as offerings and to make wishes. Reported attendance at the wider Hinglaj festival has varied sharply by year and source, from ""more than 40,000 people"" in 2019 to a reported 200,000 pilgrims across three days in 2025, and the standard academic treatment of the pilgrimage, Jürgen Schaflechner's *Hinglaj Devi: Identity, Change, and Solidification at a Hindu Temple in Pakistan* (Oxford University Press, 2018; Pakistan pbk. 2020), describes Hinglaj as ""the most influential Hindu pilgrimage site in Pakistan,"" of which Chandragup is one station.

## Bibliography

- Wikipedia, ""Chandragup"" and ""Hinglaj Yatra.""
- Published accounts and photo-documentation of the annual Hinglaj pilgrimage.
- Gulnaz Khan (photographs by Matthieu Paley), ""Hindu Pilgrimage in Pakistan,"" *National Geographic*, 10 January 2019.
- Saleem Shahid, ""Thousands attend festival at Hinglaj Mata temple,"" *Dawn*, 5 May 2025.
- Jürgen Schaflechner, *Hinglaj Devi: Identity, Change, and Solidification at a Hindu Temple in Pakistan* (Oxford University Press; Pakistan pbk. 2020).","The research pass surfaced two unresolved conflicts. On the volcano's size: the Express Tribune (2024) gives Chandragup as ""330 feet tall and with a diameter of 49 feet,"" while Dawn (2014) reports the region's mud volcanoes ranging ""between 800 to 1,550 feet"" in height and gives the crater's diameter as ""about 450 feet (137.16 m)"" — figures not reconciled here. On pilgrim numbers: National Geographic (2019) reported ""more than 40,000 people"" at the Hinglaj Yatra, while Dawn (2025) reported ""around 200,000 pilgrims"" over three days — different years and possibly different counting bases, both reported as found rather than resolved. Separately, the epithet ""Baba Chandragup"" used in this entry's title and opening line was not corroborated by any of the established-press or academic sources fetched in this research pass; it was traced only to Wikipedia, which in turn cites a source (Times Now, 2024) below this project's reliability bar, and should be treated as unverified pending a stronger citation."
darbar-ghamkol-sharif-zinda-pir,"Darbar-e-Aliya Naqshbandia Ghamkol Sharif lies in a secluded valley a few miles outside the town of Kohat in Khyber Pakhtunkhwa, and is among the most important centres of the *Naqshbandi* Sufi order in modern Pakistan. It was founded in 1952 by the Naqshbandi master universally known as *Zinda Pir* (1912–1999), who was born in the nearby village of Jungle Khail. He had received spiritual authority (*khilafat*) around 1942 from his own guide, Baba Ji Muhammad Qasim of Mohra Sharif, who directed him to establish an independent centre; obedient to that instruction, Zinda Pir withdrew to the then-barren Ghamkol valley and there built, over the following decades, a great complex of mosque, seminary, and lodgings that grew into a thriving spiritual township. His following spread far beyond Pakistan, and the darbar developed an especially strong connection with the Pakistani community of Birmingham in the United Kingdom, where an associated mosque bears its name. Zinda Pir died on 21 March 1999 and is buried at the darbar, his tomb becoming a place of pilgrimage in its turn; his spiritual seat passed to his son, Pir Sayyid Badshah. Each year vast crowds of devotees gather at Ghamkol Sharif for the commemorative observances, making it one of the great living Sufi centres of the north-west.

Independent scholarly confirmation for the core outline comes from the anthropologist Pnina Werbner, who identifies the tariqa's specific branch name as *tariqa Naqshbandiyya Ghamkolia* and who, by the time of her fieldwork, found Zinda Pir's following grown into ""a vast, transnational regional cult, stretching throughout Pakistan to the Gulf, Britain, Afghanistan and Southern Africa."" She describes the lodge's daily rhythm — ""truckloads of supplicants"" arriving to seek the saint's blessing, swelling to ""a veritable flood"" on Fridays, holidays, and the *urs* — and the centrality of the *langar*, through which visitors are fed rather than asked for payment. Her fuller academic account appears in *Pilgrims of Love: The Anthropology of a Global Sufi Cult* (Hurst, 2004; Indiana University Press ed., 2016), the standard scholarly treatment of the darbar and its founder — though her 2009 conference paper on the subject dates the founding of the cult centre to 1948 rather than the 1952 given above, a discrepancy this entry has not resolved.

## Bibliography

- Pnina Werbner, ""Transnationalism and Regional Cults: The Dialectics of Sufism in the Plurivocal Muslim World"" (conference paper, Keele University, May 2009).
- Pnina Werbner, *Pilgrims of Love: The Anthropology of a Global Sufi Cult* (Hurst, 2004; Indiana University Press ed., 2016).","The research pass surfaced a conflict on this darbar's founding date: this entry's Description states 1952, which matches the affiliated UK mosque and charity's own account (Central Jamia Mosque Ghamkol Sharif, ""Our Roots,"" gsmosque.org: ""The roots of our Charity, go back as far as 1952""), but Pnina Werbner's 2009 academic conference paper instead dates Zinda Pir's seclusion and the founding of the cult centre to 1948 (""He had founded the cult centre in 1948, when he first secluded himself, according to the legend, in a cave on the hill of Ghamkol""). Neither source is reconciled here."
gori-temple-gori-jo-mandar,"The Gori Temple — *Gori jo Mandar*, the ""temple of Gori"" — is a marble *Śvetāmbara Jain* temple standing amid the desert near the village of Gori, between Islamkot and Nagarparkar in Tharparkar District, some fourteen miles north-west of the Viravah ruins. Built in 1375-1376 CE and dedicated to *Parshvanatha*, the twenty-third *Tirthankara* of the Jain faith, it is one of the most important surviving Jain monuments of the subcontinent's north-west. The temple, raised on a high stepped platform and built of marble, measures roughly 125 by 60 feet and is distinguished by its three *mandapas* (halls) and its remarkable array of some fifty-two domes, whose form blends Gujarati temple design with the regional architecture of the age. Its greatest treasure is its painting: the frescoes within the main dome — depicting princely processions, palanquins and coaches, riders, and elegantly robed figures in flowing Rajasthani dress — are reckoned to be the oldest surviving Jain frescoes in the northern regions of the subcontinent, a survival of extraordinary rarity. Long abandoned as a place of worship, the temple stands today as a monument of the once-flourishing Jain and Hindu culture of the Thar. It forms part of the group of Nagarparkar temples inscribed in 2016 on the UNESCO tentative list as the ""Nagarparkar Cultural Landscape,"" and it remains a site of pilgrimage interest for Jains and Hindus and of growing concern for heritage conservation.

A heritage-preservation survey by the Endowment Fund Trust for the Heritage of Sindh records the temple's main structure as built of a Jodhpuri stone ""much like marble,"" and notes that its last major repairs are recorded to have been carried out in 1715, attributing the damage the temple has suffered over the centuries to Sindhi troops, fire, and gunpowder rather than to the earthquake and British demolition reported elsewhere. Press coverage in 2016 has independently repeated the temple's dedication to Parshvanath and dated its construction only to ""around the 16th century"" — a looser dating than the 1375-1376 CE given above, which this entry has not reconciled with the more specific figure. The site was already known to colonial-era archaeology: Henry Cousens' 1929 survey of Sindh's antiquities indexes ""Gori"" among its subjects, though its descriptive passage on the temple itself was not retrieved in this research pass.

## Bibliography

- ""Gori Temple,"" Heritage of Sindh (Endowment Fund Trust for Preservation of the Heritage of Sindh), https://heritage.eftsindh.com/districts/tharparkar/gori-temple.php.
- Ema Anis, ""Secrets of Thar: A Jain temple, a mosque and a 'magical' well,"" *Dawn*, 19 February 2016.
- Henry Cousens, *The Antiquities of Sind, with Historical Outline* (Calcutta: Government of India Central Publication Branch, 1929).","This addition's verdict is PARTIAL: only two independent sources were verified in this research pass, and this entry's own pre-existing founding date of 1375-1376 CE is not among the facts corroborated here. The research pass surfaced two further unresolved conflicts. On the founding date: no source fetched in this pass supports 1375-1376 CE specifically; the Endowment Fund Trust for the Heritage of Sindh gives no date at all, and Dawn (2016) gives only ""around the 16th century""; Wikipedia's own article on the temple (used only as an uncited pointer, not verified here) separately carries a legend of construction in 300 CE and itself flags the 1375-1376 CE figure as needing a citation. On the cause of historical damage: the Endowment Fund Trust attributes it to ""Sindhi troops,"" fire, and gunpowder, with repairs recorded in 1715, while Dawn (2016) instead attributes wall destruction to an earthquake and to demolition by the British. Neither conflict is resolved here."
gurdwara-baoli-sahib-guru-arjan-dev-ji-lahore,"Gurdwara Baoli Sahib stands in the crowded Dabbi Bazaar at the very heart of the walled city of Lahore, where its precinct once adjoined the Loha, Kesera and Guru bazaars. It commemorates a visit of *Guru Arjan Dev*, the fifth Sikh Guru, to Lahore in 1599. In the tradition preserved by the community, a devotee named *Bhai Chhajju Bhagat*, together with a Pathan merchant, laid a purse of gold *mohars* at the Guru's feet and asked that it be spent for religious purposes; the Guru had a *baoli* — a roofed stepwell — sunk at this spot to provide water for the people of the quarter. The stepwell later suffered in the turbulence of the eighteenth century: it is said to have been filled in and built over during the governorship of Nawab Yahya Khan, at the instigation of Diwan Jaspat Rai. It was rediscovered and restored during the reign of *Maharaja Ranjit Singh*, who in 1834 had a new building raised and a *sarovar* (sacred tank) dug, and the gurdwara passed under the management of the Shiromani Gurdwara Parbandhak Committee in 1927. Today the site is also known as Baoli Bagh, its surroundings laid out as a garden. As a shrine tied to Guru Arjan — the compiler of the *Adi Granth* and the first martyr of the Sikh faith, whose principal Lahore memorial is the Gurdwara Dera Sahib by the Fort — Baoli Sahib is a significant station on the map of Sikh Lahore.

Independent verification substantially corroborates and enriches this account. Iqbal Qaiser's 1998 survey of Sikh shrines gives the same origin story and specifies that the dispute was resolved before the Guru in Samvat 1616, while Majid Sheikh's reporting for *Dawn* fixes the disputed purse at ""282 gold mohars"" and adds that Maharaja Ranjit Singh's 1834 restoration followed his own recovery from illness after his astrologers advised him to bathe in the baoli's water — corroborated independently by the Department of Archaeology's own 1962 memoir, which further records a mosque as having stood on the site between the Sikh gurus' era and Ranjit Singh's reign, a detail found in neither Qaiser's account nor this entry's own Nawab Yahya Khan narrative, and not reconciled with either here. Sheikh's reporting also adds that it was at Gurdwara Baoli Sahib, not elsewhere in Dabbi Bazaar, that the original Adi Granth manuscript (the Kartarpur *pothi*) was kept in the custody of the Sodhi family, carried in grand procession to the Lahore Fort under Ranjit Singh's patronage, and restored to the Sodhi family after the British annexation of 1849. By 2015 the baoli itself had been reduced to ""a mere small opening in an open space,"" with only a few traditional healers still drawing water from it as the water table fell, and by 2018 the same reporter separately flagged the demolition of the gurdwara structure itself as an unaddressed grievance.

## Bibliography

- Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Lahore: Punjabi History Board, 1998), p. 218.
- Majid Sheikh, ""Harking back: The magical baolis of Arjan and Dina Nath,"" *Dawn*, 1 February 2015.
- Majid Sheikh, ""Harking back: The connection of Dabbi Bazaar to Kartarpur 'pothi',"" *Dawn*, 30 September 2018.
- Khan Mohammad Waliullah Khan, *Sikh Shrines in West Pakistan*, Memoir of the Department of Archaeology in Pakistan No. 3 (Karachi: Department of Archaeology, Government of Pakistan, 1962), entry 3, Plate No. 32.","The research pass surfaced three unresolved conflicts. (1) On who filled in the baoli and what stood on the site afterward: Iqbal Qaiser's 1998 survey gives only dates (built Samvat 1616, filled Samvat 1685, restored under Ranjit Singh in Samvat 1891) with no mention of a mosque, while the Department of Archaeology's 1962 memoir states that after the time of Guru Har Gobind the baoli was filled up, the langar khana closed, and a mosque built on the site, which Ranjit Singh had pulled down in 1834 to re-open the baoli. Neither source corroborates this entry's own existing account of the fill-in occurring under Nawab Yahya Khan's governorship at Diwan Jaspat Rai's instigation, which remains outside what this research pass verified. (2) On the construction date: Qaiser (via the source he cites, ""Tawarikh-e-Guru Khalsa"") dates construction to Samvat 1616, while Dawn's 2015 and 2018 reporting gives a flat ""1599 AD"" with no source cited in the fetched text — roughly consistent by standard calendar conversion, but framed differently by the two sources. (3) On the site's current physical state: Qaiser (1998, pre-dating the Dawn reporting) already describes it reduced to a small garden with shops; Dawn (2015) describes ""a mere small opening in an open space"" with residual well access; Dawn (2018) separately flags ""the knocking down of the Gurdwara at Baoli Sahib"" as an unaddressed grievance, implying a further demolition beyond the baoli itself. None of these three conflicts is resolved here."
gurdwara-chakki-sahib,"Gurdwara Chakki Sahib stands within the old town of Eminabad in Gujranwala District — the settlement known in Guru Nanak's day as Saidpur — and marks the place where a great millstone (*chakki*) associated with the Guru was kept. It commemorates one of the most dramatic episodes of Guru Nanak's life: his imprisonment during the invasion of the Punjab by the Mughal *Babur*, traditionally dated to around 1520-21, when Eminabad was sacked and its people carried off. According to Sikh tradition the captives, Guru Nanak among them, were set to grinding corn with hand-mills to feed the conquering army; and it is remembered that the Guru's millstone turned of its own accord while he, pouring in the grain, sang the praises of the One God — the hymns lamenting the horrors visited upon the land that are preserved in Sikh scripture as the *Babar-vani*, the ""utterances concerning Babur."" The marvel is said to have astonished his guards and, when reported to Babur, to have brought the emperor himself to the Guru; moved by his words, Babur is remembered to have sought his blessing and, at the Guru's urging, to have freed many prisoners. The present shrine, a simple flat-roofed building within a brick-paved compound, preserves the memory of the millstone and of the Guru's witness against the cruelty of war. Since Partition it has stood without a resident congregation, cared for as part of Pakistan's Sikh heritage and visited by pilgrims on the great anniversaries, often together with the neighbouring Eminabad shrines of Rori Sahib and Bhai Lalo's well.

Iqbal Qaiser's 1998 survey records that fourteen *ghumaon* of land remain attached to the shrine, that two rooms surviving from Babur's own period still stand within it, and that a fair is held here at Visakhi, with the *Nishan Sahib* flying in the courtyard; the Encyclopaedia of Sikhism further notes that the shrine was administered by the Shiromani Gurdwara Parbandhak Committee from 28 February 1922 until 1947, and that a hymn of Guru Nanak's preserved in the Guru Granth Sahib is read as evidence that he was himself present at Eminabad when Babur sacked it. Visiting in 2017, the journalist Haroon Khalid found the gurdwara's wooden door locked, the building identified only by a small plaque reading “Gurudwara Chakki Sahib, Eimanabad.”

## Bibliography
- Khan Mohammad Waliullah Khan, *Sikh Shrines in West Pakistan*, Memoir of the Department of Archaeology in Pakistan No. 3 (Department of Archaeology, Government of Pakistan, 1962), entry 2, Gujranwala District.
- Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Punjabi History Board, 1998), p. 56.
- ""Eminabad,"" in *The Encyclopaedia of Sikhism*, Vol. II: E–L, ed. Harbans Singh, 3rd ed. (Punjabi University, Patiala, 2011).
- Haroon Khalid, ""A visit to Gujranwala's Eimanabad throws new light on Babur's legacy,"" *Dawn*, 4 January 2017.","Sources disagree on the date of Babur's sack of Saidpur/Eminabad: Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (1998), p. 56, dates the capture to “Samvat 1578” without a Gregorian conversion, while the Encyclopaedia of Sikhism's entry on Eminabad states the town “was sacked by Babar in 1521.” The sources also frame Guru Nanak's release slightly differently — the 1962 Department of Archaeology memoir has Babur personally holding a discourse with the Guru before freeing all of Saidpur's captives, while Qaiser's account emphasises the officials reporting the miracle up the chain. Neither discrepancy is resolved here."
gurdwara-chhevin-patshahi-chitti-gatti,"Gurdwara Chhevin Patshahi stands in the small village of Chitti Gatti, in a garden by the roadside about eight kilometres from Mansehra in the Hazara hills of Khyber Pakhtunkhwa. Its name — Chhevin Patshahi, the ""Sixth Sovereignty"" — commemorates Guru Hargobind, the sixth Guru of the Sikhs (Guru from 1606 to 1644), who by tradition is said to have visited the site during his travels through the region. The gurdwara is a handsomely built, domed structure, and it is remembered above all for an unusual arrangement of shared sacred use: a stone Shiv Ling was worshipped on the upper floor of the building while the prakash of the Guru Granth Sahib was installed on the floor below, with Hindu priests officiating — an arrangement that reflects the closely intertwined Hindu and Sikh devotion of the frontier, where the Guru was honoured by Hindus and Sikhs alike. A fair was traditionally held here at Vaisakhi, enthusiastically attended by the communities of the surrounding hills. The building stands beside the Shiv Mandir of Chitti Gatti (recorded separately in this dataset), the two shrines together forming a single sacred spot. Following the Partition of 1947 the Sikh and Hindu populations of the area departed and regular worship ceased, though the structure survives as a monument to the region's plural religious past.

This account rests on Iqbal Qaiser's 1998 survey, which describes the gurdwara as “beautifully constructed,” with a stone Shiv Ling still in place on the upper floor where it once shared devotion with the Guru Granth Sahib below; the site is also entered in the Department of Archaeology's 1962 register of Sikh shrines in West Pakistan as a “Gurdwara Chitti Chatti” in Hazara district near Mansehra, illustrated there by a photograph captioned “Gurdwara at Mansehra.”

## Bibliography
- Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Punjabi History Board, 1998), p. 228.
- Khan Mohammad Waliullah Khan, *Sikh Shrines in West Pakistan*, Memoir of the Department of Archaeology in Pakistan No. 3 (Department of Archaeology, Government of Pakistan, 1962), Appendix 2, ""List of the Shrines.""","coordinates are adjacent to the Shiv Mandir Chiti Ghati (row 69) and are approximate; the two sites are co-located at Chitti Gatti. Distinct from the Gurdwara Chhevin Patshahi at Hadiara in Lahore district.

This addition rests primarily on a single independently-verified source (Iqbal Qaiser, 1998) for its descriptive detail; the only other citable source found, the 1962 Department of Archaeology register, merely lists and locates the site without independently corroborating the description, so this has not yet been corroborated by a second full account. Note also: press coverage of a 2021 restoration of “a Sikh gurdwara in Mansehra district” (Tribune India, 10 July 2021) concerns a different, unrelated site — Sri Guru Singh Sabha, founded in 1905 — and must not be confused with this Guru-Hargobind-era shrine at Chitti Gatti."
gurdwara-chhevin-patshahi-jhalian-jhalian-dhilwan,"Gurdwara Chhevin Patshahi at Jhalian — a village of the Lahore District lying in the former Barki (Burki) police-station area, some five kilometres east of Barki town and close to the Lahore–India borderland — commemorates a visit by Guru Hargobind, the sixth Guru (*Chhevin Patshahi*). The settlement is paired with the neighbouring village of Dhilwan, the two together being known as *Jhalian Dhilwan*. By Sikh tradition the Guru halted here and blessed the local *sangat*, and it was from this place, the accounts hold, that he afterwards travelled the short distance to Hadiara, where another gurdwara of the sixth Guru still stands (a separate entry in this dataset). The shrine at Jhalian is remembered as a modest but dignified building raised over the spot said to have been ""touched by the feet"" of Guru Hargobind: constructed in the manner of a colonial-era bungalow, with a verandah across the front and two rooms behind, and endowed by the villagers with some eight *ghumaon* of land for its upkeep. Like the great majority of gurdwaras on the Pakistani side of the 1947 border, it was maintained by the local Sikh community until Partition, after which the congregation departed and the building passed out of regular worship — such border-village shrines being frequently left empty or turned to other uses thereafter. Its history survives chiefly in Sikh pilgrimage literature and gazetteers rather than in independent record, and its present condition is not well documented. It should not be confused with the other shrines of the sixth Guru in the Lahore region — among them the *Chhevin Patshahi* gurdwaras at Mozang and inside Bhati Gate within Lahore city, and the one at Chitti Gatti near Mansehra recorded elsewhere in this dataset — each marking a different halt in Guru Hargobind's travels.

Iqbal Qaiser's 1998 survey adds that a refugee family from Ambala had settled in the Jhalian building, and that at Dhilwan a *Manji Sahib* — the seat marking where Guru Hargobind himself sat, reached from Jhalian after he had visited many other villages — stood east of the village, its former place of *prakash* now adjoined by a primary school. Independent record of the Guru's route between the two villages appears in the Department of Archaeology's 1962 survey of Sikh shrines in West Pakistan, which lists a “Gurdwara at Dhisalwan, Police Station Barki” under a variant spelling of Dhilwan.

## Bibliography
- Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Punjabi History Board, 1998), pp. 276, 278.
- Khan Mohammad Waliullah Khan, *Sikh Shrines in West Pakistan*, Memoir of the Department of Archaeology in Pakistan No. 3 (Department of Archaeology, Government of Pakistan, 1962), entry 6, Lahore District.",
gurdwara-choa-sahib,"Gurdwara Choa Sahib — its name meaning the ""gurdwara of the exalted spring"" — stands at the northern edge of the great sixteenth-century *Rohtas Fort*, a UNESCO World Heritage Site near Jhelum, close to the fort's Talaqi gate. It commemorates a tradition of *Guru Nanak* (1469–1539): Sikhs hold that the Guru, travelling with his companion *Bhai Mardana* during the fourth of his great journeys (*udasis*) and having spent forty days at the nearby *Tilla Jogian*, came to this waterless tract in the heat of summer. When Bhai Mardana lamented his thirst, the Guru is said to have struck the ground with his staff and moved a stone, causing a natural spring to well up — the *choa* that gives the shrine its name. A further Sikh legend relates that Sher Shah Suri, builder of Rohtas Fort, thrice attempted to divert the spring uphill to supply his stronghold, and thrice his engineers failed. The first commemorative structure, with a *sarovar* (sacred tank) and a place for the recitation of the *Guru Granth Sahib*, is attributed to Charat Singh; the present building dates from 1834 and was commissioned by *Maharaja Ranjit Singh*. Long neglected after the Partition of 1947, the gurdwara was reopened to pilgrims around the time of Guru Nanak's 550th birth anniversary in 2019, and from 2020 a diaspora Sikh organisation undertook its rehabilitation and restoration.

Iqbal Qaiser's 1998 survey adds that Maharaja Ranjit Singh endowed the shrine with twenty-seven *ghumaon* of land and Rs 260, and that a fair was held here on the fifteenth of *Kattak Suddi*. In January 2019 a delegation of the Walled City of Lahore Authority, led by Director General Kamran Lashari, inspected the gurdwara together with the nearby Janam Asthan Mata Sahib Kaur and directed the local administration to restore both sites; that August, seventy-two years after Partition, the Evacuee Trust Property Board formally reopened Gurdwara Choa Sahib for worship, its chairman Dr Aamer Ahmed presiding over a ceremony open to Sikh pilgrims “whether they come from India or any other part of the world.”

## Bibliography
- Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Punjabi History Board, 1998), p. 178.
- ""WCLA to help restore Sikh sites in Jhelum,"" *Dawn*, 2 January 2019.
- ""72 years after Partition, Pak opens Gurdwara Choa Sahib for Sikh devotees,"" *The Tribune* (Chandigarh), 2 August 2019.
- ""A Complete Tour Guide To Ghurdwara Choa Sahib, Pakistan,"" Ministry of Religious Affairs and Interfaith Harmony, Government of Pakistan (text closely mirrors the English Wikipedia article ""Gurdwara Chowa Sahib"").","Sources disagree on which gate of Rohtas Fort the gurdwara stands near: Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (1998), p. 178, places it “outside Kabuli Darwaza (gate),” while the Ministry of Religious Affairs and Interfaith Harmony's page (whose wording closely mirrors the English Wikipedia article and should be read as corroboration of the standard account rather than independent research) places it “near the fort's Talaqi gate” — the gate named in this entry's Description above. The two are not reconciled here."
gurdwara-khoohi-bhai-lalo-bhai-lalo-di-khooi,"Gurdwara Khoohi Bhai Lalo, in the old town of Eminabad, marks the home and the narrow well (*khooi*) of *Bhai Lalo*, the honest carpenter with whom *Guru Nanak Dev Ji* lodged when he came to the town in the early sixteenth century. Bhai Lalo, traditionally said to have been born at Saidpur (Eminabad) in 1452 into a family of carpenters, became one of the most beloved of the Guru's early companions, and his house grew into a *dharamsala*, a gathering-place for the local followers of Guru Nanak. The site is inseparable from one of the most famous of all the *sakhis*: the story of *Malik Bhago*, a wealthy official of Eminabad who held a great feast and was affronted when the Guru chose the plain fare of the labouring carpenter over his own rich table. Summoned to explain himself, Guru Nanak is remembered to have taken Bhai Lalo's coarse bread in one hand and Malik Bhago's fine bread in the other and pressed them: from the honest man's bread there flowed milk, and from the oppressor's, blood — a sign, the Guru explained, that Lalo's food was earned by the sweat of honest toil, while Bhago's was wrung from the exploitation of the poor. The parable of the milk and the blood has ever since stood at the heart of the Sikh ethic of *kirat karni*, of earning one's bread by honest labour and sharing it with others. The gurdwara, named for the well that still survives, preserves this memory; since Partition it has been maintained as part of Pakistan's Sikh heritage and visited by pilgrims, usually in the same round as the nearby Chakki Sahib and Rori Sahib shrines.

Iqbal Qaiser's 1998 survey identifies Bhai Lalo as “a carpenter of *Getaura* caste” whose house, once Guru Nanak had lodged there, was made into a gurdwara remembered as Bhai Lalu Di Khoi, the well from which the Guru had drunk still preserved within it. The same source records that a refugee family occupied the building after 1947 until 1989, when Sardar Surjit Singh Panesar purchased and restored it with funds raised by the Sangat abroad, at which time the well was covered over with a platform.

## Bibliography
- Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Punjabi History Board, 1998), pp. 58-60.
- District Gujranwala, Government of Punjab, ""Important Places,"" official district website, accessed 16 August 2026.","The official Gujranwala district government's “Important Places” page attributes Eminabad's Bhai-Lalo tradition to a differently-named neighbouring shrine, Gurdwara Rori Sahib, rather than to Khoohi Bhai Lalo specifically; Iqbal Qaiser's 1998 survey treats the two as separate structures, and this entry does not resolve which gurdwara the tradition most properly belongs to. The slug's spelling “Khooi” also differs from Qaiser's “Khoi” and the more common web rendering “Khuhi” — attested alternate transliterations of the same Punjabi word for “well,” not necessarily different places. This addition rests on a single independently-verified source (Qaiser 1998) for its descriptive and restoration detail and has not yet been corroborated by a second independent account specific to this site."
