shrine,location,problem,current_lat,current_lon,proposed_lat,proposed_lon,distance_m,source,source_id,source_url,recommendation,verdict,proposed_precision
Data Darbar,"Lahore, Punjab",shares its point with 1 other entry,31.57803,74.307,31.5789316,74.3037186,327,OpenStreetMap,relation/8430689,https://www.openstreetmap.org/relation/8430689,candidate move — needs a human verdict,,7dp vs current 3dp
Gurdwara Chakki Sahib,"Eminabad, Gujranwala District, Punjab, Pakistan",2 decimal places (~1110m),32.0422,74.26,32.0421895,74.2600257,3,OpenStreetMap,node/9886024553,https://www.openstreetmap.org/node/9886024553,CONFIRMS the current value — no change proposed,,7dp vs current 2dp
Kalat Kali Temple,"Shahi Bazaar, Kalat, Balochistan, Pakistan",2 decimal places (~1110m),29.03,66.588889,29.0304,66.58,865,Wikidata,Q24952147,https://www.wikidata.org/wiki/Q24952147,"candidate move — needs a human verdict — NOTE: the proposed value is no more precise than the current one (2dp vs 2dp), so this relocates rather than sharpens",,2dp vs current 2dp
Mohra Sharif (Khanqah),"Mohra Sharif village, Murree Tehsil, Rawalpindi District, Punjab, Pakistan",1 decimal places (~11100m),33.9833,73.5,33.970555555555556,73.48638888888888,1893,Wikidata,Q6812898,https://www.wikidata.org/wiki/Q6812898,"REJECT — the Wikidata entity is the VILLAGE, not the khanqah",,14dp vs current 1dp
Sharada Peeth,"Sharda, Neelum Valley (Azad Kashmir), Pakistan",2 decimal places (~1110m),34.79194,74.19,34.7921547,74.1900347,24,OpenStreetMap,way/459389602,https://www.openstreetmap.org/way/459389602,CONFIRMS the current value — no change proposed,,7dp vs current 2dp
Tomb of Baha'al-Halim (Uch Sharif),"Uch Sharif, Bahawalpur District, Punjab, Pakistan",shares its point with 1 other entry,29.238,71.064,29.240555555555556,71.05222222222223,1178,Wikidata,Q18210989,https://www.wikidata.org/wiki/Q18210989,candidate move — needs a human verdict,,14dp vs current 3dp
Tomb of Javindi Bibi,"Mohalla Bukhari, Uch Sharif, Punjab",shares its point with 1 other entry,29.238,71.064,29.240916666666667,71.0525,1162,Wikidata,Q7818612,https://www.wikidata.org/wiki/Q7818612,candidate move — needs a human verdict,,4dp vs current 3dp
Darbar Ghazi Ilm Din Shaheed,"Miani Sahib Graveyard, Lahore. The field survey itself locates the shrine only as “Lahore” (its one detail, ‘Railway Auqaf land,’ refers to the funeral prayer, not necessarily the burial site); the placement at Miani Sahib comes from published press accounts — see Bibliography. The pin is the graveyard landmark, shared with the other Miani Sahib entries, not the grave's exact position.",shares its point with 3 other entries,31.5498,74.317,,,,,,,NO SOURCE FOUND — needs a field survey or a better source,,
Darbar Hazrat Khawaja Feroz-ud-Din Gharib Nawaz Chishti Nizami,"Miani Sahib Graveyard, Lahore, Punjab. The field survey places the shrine ""in the middle of Miani Sahib Graveyard"" but gives no street address, no locality/section name within the graveyard, and no coordinates.",shares its point with 3 other entries,31.5498,74.317,,,,,,,NO SOURCE FOUND — needs a field survey or a better source,,
Darbar Hazrat Tahir Bandagi Qadri,"Miani Sahib Graveyard, Lahore. Per the field survey, this shrine is the oldest seat within Miani Sahib Graveyard — the graveyard grew up around it over the centuries, not the reverse. The survey gives no street address, no coordinates, and no position within the graveyard's roughly 475 kanals beyond ""alongside the mosque"" that Hazrat Tahir Bandagi built.",shares its point with 3 other entries,31.5498,74.317,,,,,,,NO SOURCE FOUND — needs a field survey or a better source,,
