id,priority,shrine,legacy_cell,principal_figure_cell,legacy_slug,principal_slug,consequence,sites_on_legacy_figure,retires_url,flags,draft_verdict,draft_rationale,verdict,chosen_name,reviewer_note
figure-column:bari-imam:d3276796,1,Bari Imam,Bari Imam (Shah Abdul Latif Kazmi),Sayyid Abdul Latif Kazmi (Bari Imam),bari-imam,sayyid-abdul-latif-kazmi,the figure slug moves,bari-imam=1,bari-imam,merge-key-legacy-only retires:bari-imam,,Contested — see the cases in DECISION_figure_identity_column.md.,,,
figure-column:darbar-wasif-ali-wasif:b245045f,1,Darbar Wasif Ali Wasif,"Hazrat Wasif Ali Wasif Awan (born Muhammad Wasif Awan; ""Wasif"" was his pen name/takhallus)","Hazrat Wasif Ali Wasif Awan (born Muhammad Wasif Awan; ""Wasif"" was his pen name/takhallus)",hazrat-wasif-ali-wasif-awan,hazrat-wasif-ali-wasif-awan,identical,hazrat-wasif-ali-wasif-awan=1,,semicolon-inside-parenthetical,,Contested — see the cases in DECISION_figure_identity_column.md.,,,
figure-column:darya-lal-mandir-darya-lal-sankat-mochan-mandir:09145f58,1,Darya Lal Mandir (Darya Lal Sankat Mochan Mandir),Jhulelal / Daryalal (Zinda Pir),Jhulelal / Daryalal,jhulelal,jhulelal-daryalal,the figure slug moves,jhulelal=2,,merge-key-legacy-only splits-figure:jhulelal,,Contested — see the cases in DECISION_figure_identity_column.md.,,,
figure-column:data-darbar:d3c0830f,1,Data Darbar,Hazrat Data Ganj Bakhsh (Ali Hujwiri),Hazrat Ali ibn Usman al-Hujwiri (Data Ganj Bakhsh),data-ganj-bakhsh,hazrat-ali-ibn-usman-al-hujwiri,the figure slug moves,data-ganj-bakhsh=1,data-ganj-bakhsh,merge-key-legacy-only retires:data-ganj-bakhsh,,Contested — see the cases in DECISION_figure_identity_column.md.,,,
figure-column:gurdwara-chakki-sahib:d71c0c6b,1,Gurdwara Chakki Sahib,Guru Nanak Dev Ji,Guru Nanak,guru-nanak,guru-nanak,"same figure, different wording",guru-nanak=18,,merge-key-legacy-only,,Contested — see the cases in DECISION_figure_identity_column.md.,,,
figure-column:jhollay-lal-mandir:ab06cbd5,1,Jhollay Lal Mandir,Jhulelal (Uderolal),Jhulelal (Uderolal),jhulelal,jhulelal,identical,jhulelal=2,,splits-figure:jhulelal,,Contested — see the cases in DECISION_figure_identity_column.md.,,,
figure-column:kalat-kali-temple:02dbe7f7,1,Kalat Kali Temple,Kali (deity),Kali,kali,kali,"same figure, different wording",kali=3,,splits-figure:kali,,Contested — see the cases in DECISION_figure_identity_column.md.,,,
figure-column:kali-bari-mandir:cd200247,1,Kali Bari Mandir,Goddess Kali,Kali,kali,kali,"same figure, different wording",kali=3,,merge-key-legacy-only splits-figure:kali,,Contested — see the cases in DECISION_figure_identity_column.md.,,,
figure-column:kalka-cave-temple-asthan-of-kalka-devi:9cacbb87,1,Kalka Cave Temple (Asthan of Kalka Devi),Goddess Kali (Kalka Devi),Kalka Devi (Kali),kali,kalka-devi,the figure slug moves,kali=3,,merge-key-legacy-only splits-figure:kali,,Contested — see the cases in DECISION_figure_identity_column.md.,,,
figure-column:shaktipeeth-shri-hinglaj-mata-mandir:eaf6f735,1,Shaktipeeth Shri Hinglaj Mata Mandir,Hinglaj Mata,,hinglaj-mata,,"principal_figure is empty, legacy is the only column with a value",hinglaj-mata=1,hinglaj-mata,principal_figure-empty retires:hinglaj-mata,,Contested — see the cases in DECISION_figure_identity_column.md.,,,
