id,kind,priority,claim,as_recorded,confidence,flags,is_new,quote,source,notes,verdict,reviewer_note
dates:abul-faiz-qalander-ali-suharwardi:fa67ed3a,dates,1,"Abul Faiz Qalander Ali Suharwardi — b. Monday, 18 November 1885 (one account) — see variants; the shrine’s own custodians give 4 January 1895, d. 9 September 1958 [CE]",disputed,0.95,disputedDates,,"He died on 9 September 1958, and was buried at Hanjarwal, where his shrine now stands. ## Teachers and the Chain of",data/shrines.csv#shrine-of-abul-faiz-qalander-ali-suharwardi,,,
dates:allama-muhammad-iqbal:ebf64375,dates,1,"Allama Muhammad Iqbal — b. 9 November 1877, d. 21 April 1938 [CE]",disputed,0.95,disputedDates disagreesWithColumn nameCollisions,,"Muhammad Iqbal was born on 9 November 1877 in the city of Sialkot, in the Punjab, into a family descended from Kashmiri Brahmins who had embraced",data/shrines.csv#tomb-of-allama-iqbal-mazar-e-iqbal,,,
dates:bari-imam:8e3e0997,dates,1,"Bari Imam — b. 1617, d. 1705 [CE]",year,0.95,nameCollisions,,"Sayyid Abdul Latif Shah, called *Bari Imam* and *Bari Sarkar*, was born in 1617 into a Kazmi Sayyid family; tradition traces his descent to the Prophet through the Imams. From",data/shrines.csv#bari-imam,,,
dates:bhai-gurdas-singh-disciple-of-guru-gobind-singh:e52106f3,dates,1,"Bhai Gurdas Singh, disciple of Guru Gobind Singh — no date [unclear]",unrecorded,0.95,nameCollisions,,"founded by Bhai Gurdas Singh — also remembered by the name Kanhiya Lal — a disciple of Guru Gobind Singh who, after the Guru's death in 1708, is said to have travelled to Sindh and preached",data/shrines.csv#khatwari-darbar-shikarpur,,,
dates:bhai-gurdas-veneration-of-guru-nanak:4ac718f9,dates,1,Bhai Gurdas; veneration of Guru Nanak — no date [unclear],unrecorded,0.95,nameCollisions,,"born Bhai Kanya Lal, he is remembered as a Khalsa saint who received the blessing of Guru Gobind Singh himself before carrying that teaching into the towns of",data/shrines.csv#sevapanthi-darbar-bhai-gurdas-gandava,,,
dates:data-ganj-bakhsh:177773af,dates,1,"Data Ganj Bakhsh — b. c. 1009 (""around the turn of the eleventh century""), d. between about 1072 and 1077 CE (465–469 AH) [both]",range,0.95,disagreesWithColumn,,"He died in Lahore between about 1072 and 1077 CE (465–469 AH), and his grave, from the first, drew those who had loved",data/shrines.csv#data-darbar,,,
dates:guru-arjan-dev:62730619,dates,1,"Guru Arjan Dev — b. 1563, d. 1606 [CE]",year,0.95,nameCollisions,,"Guru Arjan (1563–1606), son of the fourth Guru, Ram Das, and grandson of the third, Amar Das, presided over the Sikh Panth at a",data/shrines.csv#gurdwara-dera-sahib,,,
dates:guru-gurpat:547fe0d6,dates,1,Guru Gurpat — d. 1877 [CE],year,0.95,disagreesWithColumn,,before his death in 1877 at the age of about seventy. ## The Darbar and Its Trust The present building at,data/shrines.csv#guru-gurpat-mandir-db-80-sirey-ghat,,,
dates:guru-nanak:25c855cf,dates,1,"Guru Nanak — b. 1469, ""a date commonly rendered as 15 April 1469 in the Common Era"", d. 1539 [CE]",year,0.95,nameCollisions,,"Guru Nanak was born, by tradition, in the year 1469 — a date commonly rendered as 15 April 1469 in the Common Era, though Sikhs observe his *Prakash Utsav* (birth celebration, also called",data/shrines.csv#gurudwara-janam-asthan-nankana-sahib,,,
dates:guru-nanak:a5789e9e,dates,1,"Guru Nanak — d. 22 September 1539 (""by tradition"") [CE]",exact-date,0.95,nameCollisions,,"Guru Nanak died at Kartarpur, by tradition on 22 September 1539. A cherished legend, preserved in",data/shrines.csv#gurdwara-darbar-sahib-kartarpur,,,
