Name,Location,Category,Latitude,Longitude,Founded/Opened,Sufi Saint,Image 1,Image 2,Events,Description
Allo Mahar,"Allo Mahar, Sialkot, Punjab",Muslim Shrine,32.391866,74.42243,1898,Pir Syed Muhammad Channan Shah Nuri,https://upload.wikimedia.org/wikipedia/commons/f/f2/Shrine_Of_Allo_Mahar_sharif.jpg,,Annual urs,
Amb Temples (Amb Sharif),"Sakesar Mountain (Soon Valley), Khushab District, Punjab, Pakistan",Hindu Temple,32.508402,71.936538,Built 9th–10th century CE,,,,,
Bari Imam,"Bari Imam, Islamabad, Islamabad Capital Territory",Muslim Shrine,33.74499,73.110982,1705,Bari Imam (Shah Abdul Latif Kazmi),https://aalequtub.com/wp-content/uploads/2021/11/853px-pakistan-bari_imam_tomb-islamabad-40ibnezhar_sep_2016_2.jpg,,Annual urs,
Bhagnari Mandir,"Embankment Road, Karachi, Sindh, Pakistan",Hindu Temple,24.8571,66.9997,,,,,,
Bhai Sant Thawan Das Mandir,"Old Shahi Bazar, Mehar, Dadu District, Sindh, Pakistan",Hindu Temple,27.1781,67.8225,,,,,,
Bhit (Bhit Shah),"Bhit (Bhit Shah), Bhit, Sindh",Muslim Shrine,25.48322,68.29142,,Shah Abdul Latif Bhittai,https://upload.wikimedia.org/wikipedia/commons/5/59/Dargah_Hazrat_Shah_Abdul_Latif_Bhittai_ra.jpg,,Urs celebrated in Safar (Islamic month),
Churrio Jabal Durga Mata Temple,"Churrio Hill, Nagarparkar, Tharparkar District, Sindh, Pakistan",Hindu Temple,24.399917,71.064944,,,,,,
Darbar Hazrat Khawaja Shah Muhammad Sulaiman Taunsvi (R.A),"Taunsa, Taunsa Sharif, Punjab",Muslim Shrine,30.70826,70.6517,1850,Khawaja Shah Muhammad Sulaiman Taunsvi,https://en.wikipedia.org/wiki/Pir_Pathan,,Annual urs,
Darbar Sakhi Shah Chan Charagh,"Rawalpindi District, Punjab, Pakistan",Muslim Shrine,33.6153,73.0574,,Syed Sakhi Shah Chan Charagh,,,,
Dargah / Roza Sufi Shah Inayat Shaheed,"Jhok Sharif (Jhok), Sindh, Pakistan",Muslim Shrine,24.814839,68.314803,early 18th century (burial c. 1718),Sufi Shah Inayat Shaheed,,,,
Dargah Fateh Pur Sharif,"Dargah Fateh Pur Sharif, Gandawah (Jhal Magsi District), Balochistan",Muslim Shrine,28.56978,67.49652,1359,Syed Rakhyal Shah Sufi Al Qadri,https://i.tribune.com.pk/media/images/1523631-fat-1507264034/1523631-fat-1507264034.jpg,,Annual urs,
Dargah Pir Ratan Nath Jee,"Jhanda Bazar, Peshawar, Khyber Pakhtunkhwa, Pakistan",Hindu Temple,34.011583,71.578861,,,,,,
Darya Lal Mandir (Darya Lal Sankat Mochan Mandir),"Near Custom House, Saddar Town, Karachi South District, Sindh, Pakistan",Hindu Temple,24.84889,66.99111,Approx. 300 years old,,,,,
