n	name	file_slug
1	Allo Mahar	allo-mahar
2	Bhai Waliram Darbar	bhai-waliram-darbar
3	Chandragup (Baba Chandragup)	chandragup-baba-chandragup
4	Darbar Ghamkol Sharif (Zinda Pir)	darbar-ghamkol-sharif-zinda-pir
5	Gori Temple (Gori jo Mandar)	gori-temple-gori-jo-mandar
6	Gurdwara Baoli Sahib (Guru Arjan Dev Ji), Lahore	gurdwara-baoli-sahib-guru-arjan-dev-ji-lahore
7	Gurdwara Chakki Sahib	gurdwara-chakki-sahib
8	Gurdwara Chhevin Patshahi, Chitti Gatti	gurdwara-chhevin-patshahi-chitti-gatti
9	Gurdwara Chhevin Patshahi, Jhalian (Jhalian Dhilwan)	gurdwara-chhevin-patshahi-jhalian-jhalian-dhilwan
10	Gurdwara Choa Sahib	gurdwara-choa-sahib
11	Gurdwara Khoohi Bhai Lalo (Bhai Lalo di Khooi)	gurdwara-khoohi-bhai-lalo-bhai-lalo-di-khooi
12	Gurdwara Malji Sahib	gurdwara-malji-sahib
13	Gurdwara Patshahi Chhevin (Hadiara), Lahore	gurdwara-patshahi-chhevin-hadiara-lahore
14	Gurdwara Pehli Patshahi (Jind Pir), Sukkur	gurdwara-pehli-patshahi-jind-pir-sukkur
15	Gurdwara Sahib Saidpur (Guru Nanak Dev Ji)	gurdwara-sahib-saidpur-guru-nanak-dev-ji
16	Gurdwara Sri Tilganji Sahib	gurdwara-sri-tilganji-sahib
17	Jain Mandir, Lahore	jain-mandir-lahore
18	Kalat Kali Temple	kalat-kali-temple
19	Khatwari Darbar, Shikarpur	khatwari-darbar-shikarpur
20	Lal Kurti Temple (Balmiki Mandir), Rawalpindi	lal-kurti-temple-balmiki-mandir-rawalpindi
21	Loh Temple (Lava Temple)	loh-temple-lava-temple
22	Mohra Sharif (Khanqah)	mohra-sharif-khanqah
23	Ram Mandir, Saidpur (Ram Kund Mandir)	ram-mandir-saidpur-ram-kund-mandir
24	Sain Vali Vilayat Rai Darbar, Kambar	sain-vali-vilayat-rai-darbar-kambar
25	Samadhi of Maharaja Ranjit Singh	samadhi-of-maharaja-ranjit-singh
26	Sant Baba Asudaram Darbar (Panno Aqil)	sant-baba-asudaram-darbar-panno-aqil
27	Sant Bhagat Kanwar Ram Temple (Chak)	sant-bhagat-kanwar-ram-temple-chak
28	Sant Satram Dham, Raharki (Sacho Satram / Devri Sahib)	sant-satram-dham-raharki-sacho-satram-devri-sahib
29	Sevapanthi Darbar (Bhai Gurdas), Gandava	sevapanthi-darbar-bhai-gurdas-gandava
30	Shrine of Baba Shah Kamal	shrine-of-baba-shah-kamal
31	Shrine of Hazrat Muhammad Ayub Shah Bukhari	shrine-of-hazrat-muhammad-ayub-shah-bukhari
32	Shrine of Hazrat Shah Ali Akbar (Shah Ali Akbar Shamsi)	shrine-of-hazrat-shah-ali-akbar-shah-ali-akbar-shamsi
33	Shrine of Makhdoom Abdul Rahim Girhori	shrine-of-makhdoom-abdul-rahim-girhori
34	Shrine of Pir Chhatal Shah Noorani	shrine-of-pir-chhatal-shah-noorani
35	Shrine of Pir Lakha (Aab-e-Shifa), Jhal Magsi	shrine-of-pir-lakha-aab-e-shifa-jhal-magsi
36	Swami Dharmdas Darbar, Larkana (Kennedy Market)	swami-dharmdas-darbar-larkana-kennedy-market
37	Tomb of Baha'al-Halim (Uch Sharif)	tomb-of-bahaal-halim-uch-sharif
38	Tomb of Qutbuddin Aibak	tomb-of-qutbuddin-aibak
39	Tomb of Ustad Nuriya	tomb-of-ustad-nuriya
40	Valmiki Swamiji Mandir (Gracy Lines), Rawalpindi	valmiki-swamiji-mandir-gracy-lines-rawalpindi
