n	name	file_slug	id	prose_words	cites	imgs	support_level	location
1	Shrine of Shah Rukn-e-Alam	shrine-of-shah-rukn-e-alam	shrine-of-shah-rukn-e-alam	485	2	1	Source-seeded	Multan City, Multan, Punjab
2	Shrine of Shah Shams-ud-Din Sabzwari	shrine-of-shah-shams-ud-din-sabzwari	shrine-of-shah-shams-ud-din-sabzwari	417	2	1	Source-seeded	Multan, Punjab
3	Shrine of Shah Yusaf Gardez	shrine-of-shah-yusaf-gardez	shrine-of-shah-yusaf-gardez	384	2	1	Source-seeded	Multan, Punjab
4	Shrine of Syed Musa Pak	shrine-of-syed-musa-pak	shrine-of-syed-musa-pak	352	2	1	Source-seeded	Multan, Multan, Punjab
5	Shrine of Hafiz Muhammad Jamal Multani	shrine-of-hafiz-muhammad-jamal-multani	shrine-of-hafiz-muhammad-jamal-multani	252	1	1	Source-seeded	Near Aam Khas Bagh, outside Daulat Gate, Multan City, Punjab, Pakistan
6	Shrine of Makhdoom Jahaniyan Jahangasht	shrine-of-makhdoom-jahaniyan-jahangasht	shrine-of-makhdoom-jahaniyan-jahangasht	479	2	1	Source-seeded	Uch Sharif, Bahawalpur District, Punjab, Pakistan
7	Tomb of Javindi Bibi	tomb-of-javindi-bibi	tomb-of-javindi-bibi	463	2	1	Source-seeded	Mohalla Bukhari, Uch Sharif, Punjab
8	Sial Sharif	sial-sharif	sial-sharif	357	2	1	Source-seeded	Sial Sharif, Sial Sharif (Sargodha District), Punjab
9	Darbar Hazrat Khawaja Shah Muhammad Sulaiman Taunsvi (R.A)	darbar-hazrat-khawaja-shah-muhammad-sulaiman-taunsvi-r-a	darbar-hazrat-khawaja-shah-muhammad-sulaiman-taunsvi-r-a	381	2	1	Source-seeded	Taunsa, Taunsa Sharif, Punjab
10	Shrine of Pir Sher Muhammad	shrine-of-pir-sher-muhammad	shrine-of-pir-sher-muhammad	370	2	1	Source-seeded	Sharaqpur, Sharaqpur, Punjab
11	Sakhi Sarwar	sakhi-sarwar	sakhi-sarwar	418	2	1	Source-seeded	Sakhi Sarwar, Dera Ghazi Khan, Punjab
