n	name	file_slug	id	prose_words	cites	imgs	support_level	location
1	Shrine of Abdullah Shah Ghazi	shrine-of-abdullah-shah-ghazi	shrine-of-abdullah-shah-ghazi	455	2	1	Source-seeded	Clifton, Karachi, Sindh
2	Shrine of Pir Mangho	shrine-of-pir-mangho	shrine-of-pir-mangho	412	2	1	Source-seeded	Gadap Town, Karachi, Sindh
3	Shrine of Qalandar Baba Auliya	shrine-of-qalandar-baba-auliya	shrine-of-qalandar-baba-auliya	380	3	1	Source-documented	Shadman Town, Karachi, Sindh
4	Shrine of Baba Shah Chiragh	shrine-of-baba-shah-chiragh	shrine-of-baba-shah-chiragh	418	2	1	Source-seeded	The Mall (near Lahore High Court), Lahore, Punjab, Pakistan
5	Shrine of Miran Hussain Zanjani (Zanjani Sahib)	shrine-of-miran-hussain-zanjani-zanjani-sahib	shrine-of-miran-hussain-zanjani-zanjani-sahib	379	1	2	Source-seeded	Chah Miran, Lahore, Punjab, Pakistan
6	Bari Imam	bari-imam	bari-imam	418	2	1	Source-seeded	Bari Imam, Islamabad, Islamabad Capital Territory
7	Shergarh	shergarh	shergarh	350	2	1	Source-seeded	Shergarh, Okara, Punjab
8	Ranmal Sharif	ranmal-sharif	ranmal-sharif	354	2	1	Source-seeded	Ranmal Sharif, Phalia, Punjab
9	Shah Yousuf	shah-yousuf	shah-yousuf	355	3	1	Source-seeded	Shah Yousuf, Shahpur, Punjab
10	Gurdwara Panjvi Chati Patshahi	gurdwara-panjvi-chati-patshahi	gurdwara-panjvi-chati-patshahi	484	4	0	Source-seeded	Nankana Sahib, Punjab, Pakistan
11	Jagannath Temple, Sialkot	jagannath-temple-sialkot	jagannath-temple-sialkot	320	3	0	Source-documented	Paris Road, Mohallah Puran Nagar, Sialkot, Punjab, Pakistan
