file_id	title	size_bytes	kind	uploader	language_guess	duplicate_of	already_in_books	already_ocrd	routing	note	saved_as	downloaded_bytes	sha256	drive_created
1yD4ryBbDg-6LYu6nv8g26WRlaD8QTLDz	Sawaneh Mubarak Hazrat Syed Shah Jamal-ul-Bahr - saifullah imtiaz.pdf	2274011	pdf	Saifullah Imtiaz	Urdu (scan)		no	no	UTRNet	Shah Jamal has a shrine page in the archive (slug shah-jamal).	books/incoming-2026-09-11/01_Sawaneh-Mubarak-Hazrat-Syed-Shah-Jamal-u.pdf	2274011	497ed07e075c171ea9f43c5a94f2e8b1747b4b4d315af0eb2751d777599bc2ad	2026-07-29T22:42:23.526Z
1zr2hYBg93eBEXazYOvIKdu8o7os_zGFt	Essays on Islam and Indian History{Richard M. Eaton}(2003, Oxford University Press){106081397} libgen.li - Adil Ahsan.pdf	15470336	pdf	Adil Ahsan	English print (academic / literary translation)		no	no	text layer expected (born-digital PDF): ocr_all_books.py extracts it with pdftotext and never OCRs; if the probe fails, run the -english folder with --ocr-engine tesseract --ocr-lang eng		books/incoming-2026-09-11/02_Essays-on-Islam-and-Indian-History-Richa.pdf	15470336	f9206a07ee57b8064607b0b414d89d9b3371273717e133bfddd72a054a166a31	2026-08-09T15:36:25.365Z
19-rGCa8tJ12kn4YlcL8u7ai1cN9cEbXV	Pnina Werbner, Helene Basu - Embodying Charisma_ Modernity, Locality and the Performance of Emotion in Sufi Cults (1998) - libgen.li - Adil Ahsan.pdf	2035111	pdf	Adil Ahsan	English print (academic / literary translation)		no	no	text layer expected (born-digital PDF): ocr_all_books.py extracts it with pdftotext and never OCRs; if the probe fails, run the -english folder with --ocr-engine tesseract --ocr-lang eng		books/incoming-2026-09-11/03_Pnina-Werbner-Helene-Basu-Embodying-Char.pdf	2035111	6a54fcc4c4572a9473572f3d1e4e97e83077bf6c787fd98536fb3208dae39969	2026-08-09T15:36:26.433Z
1ZD2f32TIT1teWgAJ4mH1kK0VLc3djiEQ	Robert Rozehnal (auth.) - Islamic Sufism Unbound_ Politics and Piety in Twenty-First Century Pakistan (2007, Palgrave Macmillan) [10.1007_978-0-230-60572-5] - libgen.li - Adil Ahsan.pdf	3146230	pdf	Adil Ahsan	English print (academic / literary translation)		no	no	text layer expected (born-digital PDF): ocr_all_books.py extracts it with pdftotext and never OCRs; if the probe fails, run the -english folder with --ocr-engine tesseract --ocr-lang eng	Shares a name token with finished book(s): 01_00529_Tazkirah-Awliya-e-Pakistan_1; 02_00530_Tazkirah-Awliya-e-Pakistan_2 — verified not the same work only where the note above says so.	books/incoming-2026-09-11/04_Robert-Rozehnal-auth.-Islamic-Sufism-Unb.pdf	3146230	f54bc33cc34ea1772a332265a00333d3f5478f6c4a138788abb7b2aa9f023a85	2026-08-09T15:36:27.462Z
1ClLsmSc25Z0MKczyXZms-9RmP1WcOf8F	Omar Kasmani - Queer Companions_ Religion, Public Intimacy, and Saintly Affects in Pakistan (2022, Duke University Press) [10.1515_9781478022657] - libgen.li - Adil Ahsan.pdf	6240866	pdf	Adil Ahsan	English print (academic / literary translation)		no	no	text layer expected (born-digital PDF): ocr_all_books.py extracts it with pdftotext and never OCRs; if the probe fails, run the -english folder with --ocr-engine tesseract --ocr-lang eng	Shares a name token with finished book(s): 01_00529_Tazkirah-Awliya-e-Pakistan_1; 02_00530_Tazkirah-Awliya-e-Pakistan_2 — verified not the same work only where the note above says so.	books/incoming-2026-09-11/05_Omar-Kasmani-Queer-Companions_-Religion.pdf	6240866	54190efc994e8db42a680cd6a7fdd3216da8b992ffb4f2e21ed3b77591de1619	2026-08-09T15:36:29.008Z
1kCeNzCci1sQbDXs8ld6N_o-Re9ROTw_e	Annemarie Schimmel - Pain and Grace_ A Study of Two Mystical Writers of Eighteenth-Century Muslim India (Numen Book) (1997) - libgen.li - Adil Ahsan.pdf	16349463	pdf	Adil Ahsan	English print (academic / literary translation)		no	no	text layer expected (born-digital PDF): ocr_all_books.py extracts it with pdftotext and never OCRs; if the probe fails, run the -english folder with --ocr-engine tesseract --ocr-lang eng		books/incoming-2026-09-11/06_Annemarie-Schimmel-Pain-and-Grace_-A-Stu.pdf	16349463	56e2da25a709138e546cd99d1edcce18d0e82d279a8ab09a4e10da8987468527	2026-08-09T15:36:30.130Z
1kO1Dvqt8NIsOKHxwqCJhyQI9ZiwybrCh	Shemeem B. Abbas - The Female Voice in Sufi Ritual_ Devotional Practices of Pakistan and India (2003, University of Texas Press) - libgen.li - Adil Ahsan.pdf	3800703	pdf	Adil Ahsan	English print (academic / literary translation)		no	no	text layer expected (born-digital PDF): ocr_all_books.py extracts it with pdftotext and never OCRs; if the probe fails, run the -english folder with --ocr-engine tesseract --ocr-lang eng	Shares a name token with finished book(s): 01_00529_Tazkirah-Awliya-e-Pakistan_1; 02_00530_Tazkirah-Awliya-e-Pakistan_2 — verified not the same work only where the note above says so.	books/incoming-2026-09-11/07_Shemeem-B.-Abbas-The-Female-Voice-in-Suf.pdf	3800703	c475b3bb2dd6f077defb0f4d0fe644580c02fcc1c391086720c613f4274531f8	2026-08-09T15:36:31.073Z
1sgY7CunXSiXbDW6y5YJAjNKa-j0c-3tX	Madho Lal Hussein - Verses of a Lowly Fakir (2015, Penguin Group) - libgen.li - Adil Ahsan.pdf	663175	pdf	Adil Ahsan	English print (academic / literary translation)		no	no	text layer expected (born-digital PDF): ocr_all_books.py extracts it with pdftotext and never OCRs; if the probe fails, run the -english folder with --ocr-engine tesseract --ocr-lang eng		books/incoming-2026-09-11/08_Madho-Lal-Hussein-Verses-of-a-Lowly-Faki.pdf	663175	15a449fa916b15c5676ed6f9b76e6355a1edb275a53f1f88e4e1d77882c69e2e	2026-08-09T15:36:32.218Z
1ACBUCtUWX3a8ETa5ftjkyp2XiIQvHsDw	Bullhe ShÄh_ Taufiq Rafat - Bulleh Shah, A Selection _ Rendered into English Verse (1982, Vanguard Publications) - libgen.li - Adil Ahsan.pdf	8456393	pdf	Adil Ahsan	English print (academic / literary translation)		no	no	text layer expected (born-digital PDF): ocr_all_books.py extracts it with pdftotext and never OCRs; if the probe fails, run the -english folder with --ocr-engine tesseract --ocr-lang eng		books/incoming-2026-09-11/09_Bullhe-ShA-h_-Taufiq-Rafat-Bulleh-Shah-A.pdf	8456393	9c99b630e2fc3b012c8e88bfecd82cfe4f28701112523dad3d40b44b7fd9a940	2026-08-09T15:36:34.462Z
1S1qJw8iPYRtvqvIImEGSXyuvuKyqf8Gz	Annemarie Schimmel - Mystical Dimensions of Islam (2011, The University of North Carolina Press) - libgen.li - Adil Ahsan.pdf	30389548	pdf	Adil Ahsan	English print (academic / literary translation)		no	no	text layer expected (born-digital PDF): ocr_all_books.py extracts it with pdftotext and never OCRs; if the probe fails, run the -english folder with --ocr-engine tesseract --ocr-lang eng		books/incoming-2026-09-11/10_Annemarie-Schimmel-Mystical-Dimensions-o.pdf	30389548	50ea769bad33e95475431352b6ef3fe514454c704c523ff99df640ba41b9e130	2026-08-09T15:36:35.536Z
