slug_hint	site_name	image_url	source_page_url	collection	creator	license	date_or_period	source_caption_verbatim	image_type	identification	note
purana-bhalwal	Purana Bhalwal										no openly licensed candidate found; Commons file search + title-prefix scan (Bhalwal) + geosearch 10 km around 32.26583,72.874731 return only town/college/railway-station snapshots; no image of any shrine at Purana Bhalwal on Commons, Openverse, Flickr-CC or archive.org.
rahman-baba-mausoleum-rehman-baba-shrine	Rahman Baba Mausoleum (Rehman Baba Shrine)										no openly licensed candidate found; Closest miss in the whole set: ps.wikipedia hosts a locally-uploaded file titled exactly 'Rahman-baba-Tomb.png' (https://ps.wikipedia.org/wiki/دوتنه:Rahman-baba-Tomb.png), 1200x1600, uploaded 2010 by user ANBI. NOT RECORDED: its file page is completely blank - no source, no author, no license (it sits in ps.wiki's 'files with no machine-readable licence' maintenance categories), so HARD RULE 4 forbids the row. Worth a human chasing the uploader or relicensing. Commons itself holds only Diwan-i-Rahman manuscript folios and the Kabul school of the same name; Commons Category:Rahman Baba has no site photograph. Commons Category:Abdul Rahman Baba is a Ghanaian footballer. Web results for this shrine are Alamy/Dreamstime stock only.
shrine-of-akhund-darweza-baba	Shrine of Akhund Darweza Baba										no openly licensed candidate found; Zero hits on Commons for Darweza/Darweeza/Darwaiza in any spelling or script (file search, title-prefix scan, Category:Tombs in Khyber Pakhtunkhwa). en/ps/ur Wikipedia articles on Akhund Darweza carry no image; Wikidata Q25550025 has no P18 and no Commons category. Geosearch 10 km around 33.9933,71.6052 returns only Peshawar bazaar/museum/Bala Hisar snapshots.
shrine-of-akhund-panju-baba	Shrine of Akhund Panju Baba										no openly licensed candidate found; Nothing on Commons for Panju/Panju Baba/Akbarpura. Geosearch 10 km around 34.0576,71.7247 returns 12 files, all motorway and roadside imagery, none a shrine.
shrine-of-baba-shah-kamal	Shrine of Baba Shah Kamal										no openly licensed candidate found; This target is a three-way name collision and every openly licensed 'Shah Kamal' image belongs to one of the OTHER two sites. NOT RECORDED: File:Shah Kamal Mazar.JPG (CC BY-SA 4.0) is described 'Mazar of Baba Shah Kamal Qadri Kaithaly' and categorised Kaithal / Religious buildings in Haryana - India, not Pakistan. NOT RECORDED: File:Shah Kamal Chishti Tomb.JPG, File:Shah Kamal CHishti Darbar.jpg, File:Mazar Shah Kamal Chisti.JPG, File:Shrine of Hazrat Shah Kamal - Kasur.JPG, File:Baba Kamal Chishti (shrine).jpg (all CC BY-SA 3.0) - every one carries the source category 'Shrine of Baba Kamal Chishti, Kasur' and two say Kasur in the file title itself. TRAP FOR THE NEXT SEARCHER: Commons Category:Shrine of Hazrat Shah Kamal, Lahore is MISNAMED - it holds Kasur files, so a category-name match here is not a location match. Geosearch 10 km around 31.5235,74.3092 finds only File:Shah Kamal Road - panoramio.jpg, a street named after the saint.
shrine-of-hazrat-muhammad-ayub-shah-bukhari	Shrine of Hazrat Muhammad Ayub Shah Bukhari										no openly licensed candidate found; As expected for Balochistan: geosearch 10 km around 28.617,67.483 returns 5 files, all ISS orbital photographs of the region. No Commons/Openverse/Flickr-CC/archive.org image of Gandava or this shrine.
shrine-of-hazrat-shah-daula-daryai	Shrine of Hazrat Shah Daula Daryai										no openly licensed candidate found; Nothing openly licensed depicting the shrine. NOT RECORDED: File:Tomb of Hazrat Makhdum Shah Doula.jpg and three siblings (CC BY-SA 4.0) are Shahjadpur, BANGLADESH - the file page says 'a monument in Bangladesh' and the category is 'Dargah and Mosque of Makhdum Shah Daula, Shahjadpur'. NOT RECORDED: the five File:Pul Shah Daula (*).jpg (CC BY 2.0, Muhammad Imran Saeed) are the saint's bridge, captioned 'The historic bridge on Degh Nala on the ancient Grand Trunk Road' - the source never names the shrine, so it cannot be filed as a site photograph, though it is genuinely relevant context for an entry about a saint famous for building bridges. The 'Shah Daula's rats / chuhas' material was screened out and no photograph of a person was considered. Title-prefix scan for 'Shah Daula' and 'Shah Dola' on Commons: 0 files.
shrine-of-makhdoom-abdul-rahim-girhori	Shrine of Makhdoom Abdul Rahim Girhori										no openly licensed candidate found; NOT RECORDED: File:Qadeer Mangrio at Grohar Sharif 3.jpg (Commons, stated 'Public domain', PD-user; description 'Source: I had visited the groahar and took this picture. Author: Qadeer Mangrio') is the only openly licensed file naming this locality. Excluded because it is one of a personal 'User page images' self-portrait series (Makli, Kenjhar, Umerkot, Shah Jahan Mosque) - it is a photograph of an identifiable living person at a place, the source names the locality rather than the shrine, and the brief forbids recording a person photograph as a site photograph. Flagged for a human to judge: https://commons.wikimedia.org/wiki/File:Qadeer_Mangrio_at_Grohar_Sharif_3.jpg NOT RECORDED: File:PIR PITHORO SHRINE UMERKOT.jpg is a different saint's shrine near Pithoro.
shrine-of-makhdoom-nooh-hala	Shrine of Makhdoom Nooh (Hala)										no openly licensed candidate found; Photographs of this shrine certainly exist but none is openly licensed. NOT RECORDED: Flickr 'SHRINE OF MAKHDOOM NOOH' by Muhammad Bashir Osman (https://www.flickr.com/photos/bashirosman/8456380532) and 'Mazaar of Makhdoom Sarwar Nooh' by Batool Nasir (https://www.flickr.com/photos/batoolnasir/5619955790) - both pages state 'All rights reserved'. Flickr CC-filtered search for 'Makhdoom Nooh Hala' returns no matches at all. NOT RECORDED: File:Hala sindh.jpg (CC BY-SA 4.0) is captioned only 'beautiful Shrine' and is categorised Shrine of Shah Abdul Latif Bhittai - a different site, at Bhit Shah. Commons Category:Hala, Sindh contains only Category:Dargah Pir Sarhandi, another Hala shrine. HISTORICAL ROUTE CHECKED AND CLOSED: Henry Cousens, 'The Antiquities of Sind' (ASI Imperial Series XLVI, public domain, archive.org in.ernet.dli.2015.36039) discusses 'the shrine or tomb of Makhdum Nuh' in its Hala text but its plate list contains NO plate of it - the Hala plates are 'TOMB UNDER PAVILION AT KHUDABAD, NEAR HALA', 'HALA POTTERY' and 'HALA POTTERS FURNACES'.
shrine-of-pir-chhatal-shah-noorani	Shrine of Pir Chhatal Shah Noorani										no openly licensed candidate found; As expected for Balochistan: 0 Commons hits for Chhatal/Chatal Shah Noorani in any spelling; geosearch 10 km around 28.66,67.35 returns 2 files, both orbital imagery. Note for searchers: 'Shah Noorani' also names a much better-known shrine in Lasbela district - none of its imagery would belong to this Moola-gorge site anyway, and none was recorded.
