slug_hint	site_name	image_url	source_page_url	collection	creator	license	date_or_period	source_caption_verbatim	image_type	identification	note
gurdwara-babay-nanki	Gurdwara Babay Nanki										no openly licensed candidate found -- note: searched Commons file search ("Babay Nanki", "Bebe Nanaki Lahore", "Nanki Lahore"), Wikidata, en/ur/pa/pnb Wikipedia and Commons geosearch at 31.4438/74.472 r=800m (0 files). Nothing on Commons or archive.org names this site.
gurdwara-baoli-sahib-guru-arjan-dev-ji-lahore	Gurdwara Baoli Sahib (Guru Arjan Dev Ji), Lahore										no openly licensed candidate found -- note: searched Commons ("Baoli Sahib", "Baoli Sahib Lahore", "Dabbi Bazaar"), Wikidata, en/ur/pa Wikipedia, geosearch at 31.5824/74.3122 r=800m (100 files, all Badshahi Mosque / Lahore Fort). Every "Baoli Sahib" image on Commons is Goindwal in Indian Punjab, a different site; the Lal Khoohi images in Lahore are also a different site (near Mochi Gate, per en.wikipedia "Gurdwara Lal Khoohi"). No candidate.
gurdwara-bhai-beba-singh	Gurdwara Bhai Beba Singh										no openly licensed candidate found -- note: searched Commons ("Bhai Beba Singh", "Beba Singh", insource:"Beba Singh", "Gurdwara Sikh Peshawar", "Peshawar Jogan Shah gurdwara"), Wikidata, Wikipedia, geosearch at 34.0124/71.5784 r=800m (13 files, all street scenes and Bala Hisar). No candidate.
gurdwara-chhevin-patshahi-chitti-gatti	Gurdwara Chhevin Patshahi, Chitti Gatti										no openly licensed candidate found -- note: searched Commons ("Chitti Gatti", "Chitti Gatti gurdwara", "Gurdwara Chhevin Patshahi"), Wikidata, Wikipedia, geosearch at 34.3945/73.2155 r=800m (0 files). The only "Gurdwara Chhevin Patshahi" material on Commons is the Hadiara site in Lahore district - a different site; see the trailing comment block in this file. No candidate.
gurdwara-chhevin-patshahi-jhalian-jhalian-dhilwan	Gurdwara Chhevin Patshahi, Jhalian (Jhalian Dhilwan)										no openly licensed candidate found -- note: searched Commons ("Jhalian", "Gurdwara Chhevin Patshahi"), Wikidata, Wikipedia, geosearch at 31.46/74.555 r=800m (0 files). All Commons hits for "Gurdwara Chhevin Patshahi" are frescoes and murals from the Hadiara gurdwara, a different site in the same district - deliberately not recorded; see the trailing comment block in this file. No candidate.
gurdwara-chhevin-patshahi-mozang	Gurdwara Chhevin Patshahi, Mozang										no openly licensed candidate found -- note: searched Commons ("Gurdwara Mozang", intitle:Mozang, "Gurdwara Chhevin Patshahi"), Wikidata, Wikipedia, geosearch at 31.5556/74.3163 r=800m (9 files, none religious). Hadiara "Chhevin Patshahi" material is a different site. No candidate.
gurdwara-choa-sahib	Gurdwara Choa Sahib	https://commons.wikimedia.org/wiki/Special:FilePath/Rohtas_13_by_Usman_Ghani.jpg	https://commons.wikimedia.org/wiki/File:Rohtas_13_by_Usman_Ghani.jpg	Wikimedia Commons	Usman.pg	CC BY-SA 3.0	2007-10-21	Rohtas Fort	exterior	uncertain	note: the file's own description is only "Rohtas Fort"; the site identification comes from its Commons category [[Category:Gurdwara Chowa Sahib]] and from the en.wikipedia article Gurdwara Chowa Sahib, which uses this exact file captioned "The gurdwara in 2007, prior to restoration works." Strongest of the three Chowa Sahib candidates. Geotagged 32.5745/73.3520, which is NOT the Rohtas Fort coordinate in our data (32.9711/73.5733) - the uploader's geotag is ~50km out; check before publishing.
gurdwara-choa-sahib	Gurdwara Choa Sahib	https://commons.wikimedia.org/wiki/Special:FilePath/A_Sikh_Monument_in_Rohtas_by_Usman_Ghani.jpg	https://commons.wikimedia.org/wiki/File:A_Sikh_Monument_in_Rohtas_by_Usman_Ghani.jpg	Wikimedia Commons	Usman.pg	CC BY-SA 4.0	2010-03-23	Rohtas Fort.This is a Sikh monument with Rohtas Fort wall near Talaqi Gate.A Baradari and a sacred water source for Sikhs(CHOHA) and it is unknown for many visitors.Usman Ghani	exterior	uncertain	note: the caption names the Talaqi Gate location and the sacred water source "(CHOHA)" - chowa/choha is the spring the gurdwara is named for - but it never writes "Gurdwara Chowa Sahib", and the file is filed under [[Category:Sikh Monument in Rohtas Fort]], not under the Chowa Sahib category. Location matches our target exactly (Rohtas Fort, Talaqi gate). Carries the same ~50km-out geotag as the file above.
gurdwara-choa-sahib	Gurdwara Choa Sahib	https://commons.wikimedia.org/wiki/Special:FilePath/Rohtas_Fort_view_of_a_Havelli.jpg	https://commons.wikimedia.org/wiki/File:Rohtas_Fort_view_of_a_Havelli.jpg	Wikimedia Commons	Besal1966	CC BY-SA 4.0	2012-03-11	Rohtas Fort view of a Havelli	detail	uncertain	note: SOURCES CONFLICT. The Commons page calls this a haveli and files it under [[Category:Rohtas Fort havelis]], but both the en.wikipedia and pa.wikipedia articles on Gurdwara Chowa Sahib use this exact file captioned "A view of the Gurudwara's baoli, or stepwell." Recorded because two Wikipedias name it; flagged because the licensed source page contradicts them. Needs a human eye before use.
gurdwara-chowmala-sahib	Gurdwara Chowmala Sahib										no openly licensed candidate found -- note: searched Commons ("Chowmala", "Chaumala", intitle:Chowmala, "Bhati Gate"), Wikidata, Wikipedia, geosearch at 31.5792/74.3089 r=800m (58 files, all Data Darbar / Badshahi Mosque / Bhati Gate itself). The Walled City of Lahore Authority's large Commons upload (578 "WCLA" hits) includes Gurudwara Arjun Ram but not Chowmala Sahib. No candidate.
gurdwara-dash-mesh-pita	Gurdwara Dash Mesh Pita										no openly licensed candidate found -- note: searched Commons ("Dash Mesh Pita", "Gurdwara Sukkur", "Sukkur gurdwara Sikh", "gurdwara Sindh"), Wikidata, en/ur Wikipedia (an ur.wikipedia article on a Sikh gurdwara at Sukkur exists but carries no image), geosearch at 27.697778/68.860833 r=800m (11 files, none of the gurdwara). Category:Gurudwaras in Sindh holds one subcategory only (Karachi Gurdwara). No candidate.
gurdwara-khoohi-bhai-lalo-bhai-lalo-di-khooi	Gurdwara Khoohi Bhai Lalo (Bhai Lalo di Khooi)										no openly licensed candidate found -- note: searched Commons ("Khoohi Bhai Lalo", "Bhai Lalo", "Eminabad"), Wikidata, Wikipedia, geosearch at 32.0415/74.2470 r=800m (0 files). Commons has Gurdwara Chakki Sahib, Eminabad (Dhanna Singh Chahal, 4 October 1932) and Janamsakhi paintings of Guru Nanak visiting Bhai Lalo - both deliberately not recorded: Chakki Sahib is a separate Eminabad site, and the paintings depict the narrative episode, not the building. No candidate.
gurdwara-malji-sahib	Gurdwara Malji Sahib										no openly licensed candidate found -- note: searched Commons ("Malji Sahib", intitle:Malji, intitle:"Mal Ji Sahib", insource:"Mal Ji Sahib"), Wikidata, en/pa Wikipedia, geosearch at 31.456/73.7125 r=800m (1 file, a Janam Asthan panoramio shot). Every Nankana Sahib gurdwara image on Commons is Gurdwara Janam Asthan. No candidate.
gurdwara-panjvi-chati-patshahi	Gurdwara Panjvi Chati Patshahi										no openly licensed candidate found -- note: searched Commons ("Panjvi Chati Patshahi", intitle:Panjvin, intitle:Chevin), Wikidata, Wikipedia, geosearch at 31.4486/73.6849 r=800m (0 files). The four intitle:Panjvin hits are all Gurdwara Dera Sahib Panjvin Patshahi in Lahore - a different site. No candidate.
gurdwara-patti-sahib	Gurdwara Patti Sahib										no openly licensed candidate found -- note: searched Commons ("Patti Sahib" - 16510 hits, all Patti Smith / Adelina Patti / Patti in Sicily, and insource:"Patti Sahib" - 0 hits), Wikidata, en/pa Wikipedia, geosearch at 31.4507/73.6985 r=800m (17 files, all Gurdwara Janam Asthan). No candidate.
gurdwara-sach-khand-sahib	Gurdwara Sach Khand Sahib										no openly licensed candidate found -- note: searched Commons ("Sach Khand Sahib", insource:"Sach Khand Sahib", "Gurdwara Shikarpur", "Shikarpur Sikh"), Wikidata, Wikipedia, geosearch at 27.9573/68.6347 r=800m (5 files, all Shikarpur civic buildings). The Shikarpur Sikh material on Commons is frescoes from Sri Khat Wari Darbar - a different Shikarpur site, deliberately not recorded. No candidate.
gurdwara-shaheed-ganj-singh-singhnian	Gurdwara Shaheed Ganj Singh Singhnian	https://commons.wikimedia.org/wiki/Special:FilePath/Photograph_of_Gurdwara_Shahid_Ganj%2C_ca.1930%27s.jpg	https://commons.wikimedia.org/wiki/File:Photograph_of_Gurdwara_Shahid_Ganj,_ca.1930%27s.jpg	Wikimedia Commons	Unknown photographer	Public domain	ca.1930's	Photograph of Gurdwara Shahid Ganj [alt. spelt as Shaheed/Sahid], ca.1930's.	historical photograph	uncertain	note: the caption names "Gurdwara Shahid Ganj" but does not disambiguate between our target (Shaheed Ganj Singh Singhnian) and the adjacent Gurdwara Shahid Ganj Bhai Taru Singh, which stands opposite it; en.wikipedia uses this as the lead image of its "Gurdwara Shahid Ganj Singh Singhania" article, which is the only basis for assigning it to this target. Provenance chain is thin: the Commons source field is a link to an x.com post, and the PD-scan tag is asserted rather than documented.
gurdwara-shaheed-ganj-singh-singhnian	Gurdwara Shaheed Ganj Singh Singhnian	https://commons.wikimedia.org/wiki/Special:FilePath/Photograph_of_a_group_of_Sikh_pilgrims_from_East_Punjab_visiting_the_Shahidganj_site_in_Lahore%2C_Punjab%2C_Pakistan%2C_1948.jpg	https://commons.wikimedia.org/wiki/File:Photograph_of_a_group_of_Sikh_pilgrims_from_East_Punjab_visiting_the_Shahidganj_site_in_Lahore,_Punjab,_Pakistan,_1948.jpg	Wikimedia Commons	Unknown photographer	Public domain	June 1948	Photograph of a group of Sikh pilgrims from East Punjab visiting the Shahidganj site in Lahore, Punjab, Pakistan, 1948. Under a heavy police escort, some Sikhs from East Punjab, India, stand before the Shahid Gunj Gurdwara in Lahore, Pakistan, during the commemoration of the martyrdom of Sri Guru Arjan Dev.	historical photograph	uncertain	note: DO NOT USE WITHOUT CHECKING - THE PUBLIC DOMAIN TAG IS CONTESTED. Two things on the Commons page itself: (a) it carries [[Category:Deletion requests February 2026]], i.e. a deletion request was open on this file at the time of the hunt, and (b) its own description links two Getty Images scans of this same photograph (gettyimages.ca news-photo 646271410 and 3380584), so a rights holder is asserting a claim over it. The licence recorded here is what the source page states, not a finding that it is free. Verify the deletion request outcome before any use. Separately, the caption names "the Shahid Gunj Gurdwara in Lahore" without saying which of the two Shahidganj gurdwaras, and the image is as much an event photograph as a building photograph - the facade sits behind a crowd.
gurdwara-singh-sabha	Gurdwara Singh Sabha										no openly licensed candidate found -- note: searched Commons ("Singh Sabha Quetta", "Gurdwara Quetta", "Quetta gurudwara Sikh temple"), Wikidata, Wikipedia, geosearch at 30.192778/67.013611 r=800m (0 files). No candidate. The name collides heavily with Singh Sabha gurdwaras worldwide, so match on Quetta as well as the name.
gurdwara-sri-tilganji-sahib	Gurdwara Sri Tilganji Sahib										no openly licensed candidate found -- note: searched Commons ("Tilganji", intitle:Tilganji, insource:"Tilganji" - all 0 hits), Wikidata, Wikipedia, geosearch at 30.1885/66.9985 r=800m (9 files, all Quetta railway station). No candidate.
gurdwara-tambo-sahib	Gurdwara Tambo Sahib										no openly licensed candidate found -- note: searched Commons ("Tambo Sahib", "Tambu Sahib", insource:"Tambu Sahib", "Nankana Sahib Tambu"), Wikidata, en/pa Wikipedia, geosearch at 31.4483/73.6844 r=800m (0 files). The two insource hits are Gurdwara Tambu Sahib at Muktsar in Indian Punjab - a different site, deliberately not recorded. No candidate.

# ---------------------------------------------------------------------------
# NOT A CANDIDATE FOR ANY TARGET ABOVE - a possible NEW ENTRY for the editor.
#
# Site (as the sources name it): Gurdwara Chhevin Patshahi, Hadiara, Lahore
#   district, Punjab, Pakistan. Also appears on Commons as "Gurdwara Patshahi
#   Chhevin, Hadiara". en.wikipedia carries an article titled "Gurdwara Patshahi
#   Chhevin (Hadiara)".
#
# Why it is here: this is a THIRD distinct site named "Gurdwara Chhevin
#   Patshahi", separate from the Jhalian and Mozang targets in this hunt, and it
#   was correctly not recorded against either. But it is the best-documented
#   openly licensed body of Sikh wall painting in Lahore district on Commons, and
#   this archive holds no entry for it at all.
#
# What the files are: 12 photographs of frescoes and murals inside the gurdwara -
#   the Battle of Kartarpur (April 1635), Guru Hargobind on horseback, Guru Nanak
#   with his retinue, Surya devta, an Indic deity possibly Ganesha, the Nishan
#   Sahib flag of the Akal Sena, and unidentified figures. Interior detail only:
#   no exterior, plan or general view of the building exists on Commons.
#
# Licence: all 12 state Public domain (PD-Art / PD-old-70).
# Creator, as stated: "Unknown artist" throughout, with the photographer credited
#   variously as "presumably ... Dalvir Pannu" (3 files), "KHOJ [Gurmukhi] social
#   media" (8), and "Muhammad Shoaib" (1).
#
# NO SITE-SPECIFIC COMMONS CATEGORY EXISTS for this gurdwara - Category:Gurdwara
#   Chhevin Patshahi, Hadiara is empty. The category that actually holds most of
#   them is:
#   https://commons.wikimedia.org/wiki/Category:Sikh_architecture_in_Pakistan
#   To list exactly these 12, search Commons for: Hadiara
#   (13 hits; the 13th, Akal Sena Flag.svg, is a flag graphic, not the site.)
#
# Nothing above is asserted beyond what the Commons file pages state. Counts were
# taken from the API on 26 August 2026; no date, attribution or licence here was
# supplied from general knowledge.
# ---------------------------------------------------------------------------
