slug_hint	site_name	image_url	source_page_url	collection	creator	license	date_or_period	source_caption_verbatim	image_type	identification	note
bhai-sant-thawan-das-mandir	Bhai Sant Thawan Das Mandir										note: no openly licensed candidate found — searched Commons full-text for Thawan Das / Thanwardas / Thawardas / Mehar Dadu / Shahi Bazar Dadu / Dadu mandir / Dadu temple, Category:Dadu District (59 members), and Commons geosearch 5 km around 27.1781,67.8225 (zero geotagged files). Nothing on Commons names this site.
bhai-waliram-darbar	Bhai Waliram Darbar										note: no openly licensed candidate found — searched Commons full-text for Waliram / Wali Ram darbar / Vali Ram / Digano / Mahesar / Miro Khan / Mirokhan / Qambar Shahdadkot, and geosearch 5 km around 27.8806,68.1483 (zero geotagged files). The only Commons file for the taluka is a boundary map.
gurdas-ram-mandir	Gurdas Ram Mandir										note: no openly licensed candidate found — searched Commons full-text for Gurdas Ram / Radhan / Radhan Sindh, Category:Dadu District, and geosearch 5 km around 27.1742,67.9511 (zero geotagged files). Trap for the next session: every Commons Gurdas hit is Bhai Gurdas Bhalla manuscripts or Punjab frescoes, unrelated to this Dadu mandir.
gurdwara-pehli-patshahi-jind-pir-sukkur	Gurdwara Pehli Patshahi (Jind Pir), Sukkur										note: no openly licensed candidate found — searched Commons full-text for Gurdwara Pehli Patshahi / Jind Pir / Jindpir / Jind Peer / Gurdwara Sukkur / Nanakpanthi Sukkur / Sukkur gurdwara, Category:Sukkur (57 members), Category:Gurudwaras in Sindh (holds only Category:Karachi Gurdwara), and geosearch 5 km. The 32 geotagged files near the shrine are the Lansdowne/Ayub bridge, the Indus, Masum Shah minaret and a colonial duck-shoot album; none names the gurdwara, so none was recorded.
guru-gurpat-mandir-db-80-sirey-ghat	Guru Gurpat Mandir (DB-80 Sirey Ghat)										note: no openly licensed candidate found — searched Commons full-text for Gurpat / Guru Gurpat Mandir / Sirey Ghat / Sire Ghat Hyderabad / Siri Ghat / Hyderabad Sindh temple, and geosearch 5 km around 25.3984,68.3571 (50 geotagged files: Talpur tombs, Navalrai Market tower, St Francis Xavier cathedral, Kalhoro tombs). Nothing names this mandir.
sain-vali-vilayat-rai-darbar-kambar	Sain Vali Vilayat Rai Darbar, Kambar										note: no openly licensed candidate found — searched Commons full-text for Vilayat Rai / Sain Vali / Shivalo / Qambar / Kambar / Shahdadkot, and geosearch 5 km around 27.5868,68.001 (three ISS Earth-observation frames only). Note that Kambar on Commons overwhelmingly returns the Tamil poet and the greater yam.
sant-baba-asudaram-darbar-panno-aqil	Sant Baba Asudaram Darbar (Panno Aqil)										note: no openly licensed candidate found — searched Commons full-text for Asudaram / Asudo / Panno Aqil / Pano Akil, and geosearch 5 km around 27.857,69.111 (25 geotagged files, all Panoramio roads, canals and village views around Pano Akil Cantt). Nothing names this darbar.
sant-baba-bhagat-ram-darbar-mandir	Sant Baba Bhagat Ram Darbar Mandir										note: no openly licensed candidate found — searched Commons full-text for Bhagat Ram Dadu / Shahi Bazar Dadu / Dadu mandir / Dadu Sindh, Category:Dadu District, and geosearch 5 km around 26.7354,67.7792 (50 geotagged Panoramio street views of Dadu town: courts, colleges, chowks, hotels; no temple or darbar among them).
sant-bhagat-kanwar-ram-temple-chak	Sant Bhagat Kanwar Ram Temple (Chak)										note: no openly licensed candidate found — searched Commons full-text for Kanwar Ram / Bhagat Kanwar Ram / Chak Shikarpur / Chak town Sindh / Shikarpur temple, archive.org, the en-wiki article Bhagat Kanwar Ram (carries no photograph), and geosearch 5 km around 27.8575,68.8329 (zero geotagged files). Commons Kanwar Ram hits are an Indian postage stamp and a statue at Prayagraj, India — a different country, not recorded.
sant-satram-dham-raharki-sacho-satram-devri-sahib	Sant Satram Dham, Raharki (Sacho Satram / Devri Sahib)										note: no openly licensed candidate found — searched Commons full-text for Satram Dham / Sacho Satram / Satram Das / Satramdas / Satguru Satramdas / Sant Satram / Raharki / Raherki / Raherki Sahib / Daharki / Ghotki temple / Ghotki Hindu / Devri Sahib, Category:Ghotki District, Wikidata (no entity exists), archive.org, Openverse, geosearch 5 km around 28.3,69.39 and 8 km around Daharki 28.43,69.71. Galleries do exist at sachosatram.com but that site states no licence, so nothing there is recordable. One Commons file was found and deliberately not recorded — see the session report.
sevapanthi-darbar-bhai-gurdas-gandava	Sevapanthi Darbar (Bhai Gurdas), Gandava										note: no openly licensed candidate found — searched Commons full-text for Gandava / Gandawah / Gandava darbar / Gandava temple / Jhal Magsi / Jhal Magsi temple / Bhai Gurdas Gandava / Sevapanthi / Sewapanthi, Category:Hindu temples in Balochistan (Pakistan) (4 members: Quetta Fort cornerstone, Kalat Kali temple, Hinglaj Mata, Sidh Pani Nath), and geosearch 5 km around 28.617,67.483 (ISS frames only). All Gandava hits are 19th-century Balochistan travel narratives and a US Army map sheet; all Commons Sevapanthi holdings are Punjab and Shikarpur frescoes and portraits, none of Gandava.
swami-dharmdas-darbar-larkana-kennedy-market	Swami Dharmdas Darbar, Larkana (Kennedy Market)										note: no openly licensed candidate found — searched Commons full-text for Dharmdas / Swami Dharam Das / Kennedy Market Larkana / Larkana temple / Larkana darbar / Larkana Hindu / Larkana Sindh, Category:Larkana (17 members), and geosearch 5 km around 27.559,68.212 (4 geotagged files, all pages of one 1920s-30s travel album).
