slug_hint	name	location	category
purana-bhalwal	Purana Bhalwal	Purana Bhalwal, Bhalwal, Punjab	Muslim Shrine
rahman-baba-mausoleum-rehman-baba-shrine	Rahman Baba Mausoleum (Rehman Baba Shrine)	Hazarkhwani (Ring Road), Peshawar, Khyber Pakhtunkhwa, Pakistan	Muslim Shrine
shrine-of-akhund-darweza-baba	Shrine of Akhund Darweza Baba	Hazarkhwani, Peshawar, Khyber Pakhtunkhwa, Pakistan	Muslim Shrine
shrine-of-akhund-panju-baba	Shrine of Akhund Panju Baba	Akbarpura, Nowshera District, Khyber Pakhtunkhwa, Pakistan	Muslim Shrine
shrine-of-baba-shah-kamal	Shrine of Baba Shah Kamal	Muslim Town / Samanabad (near Ichhra), Lahore, Punjab, Pakistan	Muslim Shrine
shrine-of-hazrat-muhammad-ayub-shah-bukhari	Shrine of Hazrat Muhammad Ayub Shah Bukhari	Gandawah (Gandava), Jhal Magsi District, Balochistan, Pakistan	Muslim Shrine
shrine-of-hazrat-shah-daula-daryai	Shrine of Hazrat Shah Daula Daryai	Gujrat, Punjab, Pakistan	Muslim Shrine
shrine-of-makhdoom-abdul-rahim-girhori	Shrine of Makhdoom Abdul Rahim Girhori	Girhor Sharif, near Pithoro, Umarkot, Sindh, Pakistan	Muslim Shrine
shrine-of-makhdoom-nooh-hala	Shrine of Makhdoom Nooh (Hala)	Hala, Matiari District, Sindh, Pakistan	Muslim Shrine
shrine-of-pir-chhatal-shah-noorani	Shrine of Pir Chhatal Shah Noorani	Near Naulung (Moola gorge), Gandava area, Jhal Magsi District, Balochistan, Pakistan	Muslim Shrine
shrine-of-pir-lakha-aab-e-shifa-jhal-magsi	Shrine of Pir Lakha (Aab-e-Shifa), Jhal Magsi	Near Kotra (Moola gorge area), Jhal Magsi District, Balochistan, Pakistan	Muslim Shrine
ziarat-kaka-sahib	Ziarat Kaka Sahib	Ziarat Kaka Sahib, Nowshera District, Khyber Pakhtunkhwa, Pakistan	Muslim Shrine
