slug_hint	name	location	category
gurdwara-babay-nanki	Gurdwara Babay Nanki	Lahore, Punjab, Pakistan	Sikh Gurdwara
gurdwara-baoli-sahib-guru-arjan-dev-ji-lahore	Gurdwara Baoli Sahib (Guru Arjan Dev Ji), Lahore	Dabbi Bazaar, Walled City, Lahore, Punjab, Pakistan	Sikh Gurdwara
gurdwara-bhai-beba-singh	Gurdwara Bhai Beba Singh	Peshawar, Khyber Pakhtunkhwa, Pakistan	Sikh Gurdwara
gurdwara-chhevin-patshahi-chitti-gatti	Gurdwara Chhevin Patshahi, Chitti Gatti	Chitti Gatti, near Mansehra, Khyber Pakhtunkhwa, Pakistan	Sikh Gurdwara
gurdwara-chhevin-patshahi-jhalian-jhalian-dhilwan	Gurdwara Chhevin Patshahi, Jhalian (Jhalian Dhilwan)	Jhalian (Jhalian Dhilwan), near Barki, Lahore District, Punjab, Pakistan	Sikh Gurdwara
gurdwara-chhevin-patshahi-mozang	Gurdwara Chhevin Patshahi, Mozang	Temple Road, Mozang, Lahore, Punjab, Pakistan	Sikh Gurdwara
gurdwara-choa-sahib	Gurdwara Choa Sahib	Rohtas Fort (Talaqi gate), near Dina, Jhelum District, Punjab, Pakistan	Sikh Gurdwara
gurdwara-chowmala-sahib	Gurdwara Chowmala Sahib	Chowmala Mohalla, inside Bhati Gate, Walled City, Lahore, Punjab, Pakistan	Sikh Gurdwara
gurdwara-dash-mesh-pita	Gurdwara Dash Mesh Pita	Sukkur, Sindh, Pakistan	Sikh Gurdwara
gurdwara-khoohi-bhai-lalo-bhai-lalo-di-khooi	Gurdwara Khoohi Bhai Lalo (Bhai Lalo di Khooi)	Eminabad, Gujranwala District, Punjab, Pakistan	Sikh Gurdwara
gurdwara-malji-sahib	Gurdwara Malji Sahib	Nankana Sahib, Punjab, Pakistan	Sikh Gurdwara
gurdwara-panjvi-chati-patshahi	Gurdwara Panjvi Chati Patshahi	Nankana Sahib, Punjab, Pakistan	Sikh Gurdwara
gurdwara-patti-sahib	Gurdwara Patti Sahib	Nankana Sahib, Punjab, Pakistan	Sikh Gurdwara
gurdwara-sach-khand-sahib	Gurdwara Sach Khand Sahib	Shikarpur, Sindh, Pakistan	Sikh Gurdwara
gurdwara-shaheed-ganj-singh-singhnian	Gurdwara Shaheed Ganj Singh Singhnian	Lahore, Punjab, Pakistan	Sikh Gurdwara
gurdwara-singh-sabha	Gurdwara Singh Sabha	Quetta, Balochistan, Pakistan	Sikh Gurdwara
gurdwara-sri-tilganji-sahib	Gurdwara Sri Tilganji Sahib	Masjid Road, Quetta, Balochistan, Pakistan	Sikh Gurdwara
gurdwara-tambo-sahib	Gurdwara Tambo Sahib	Nankana Sahib, Punjab, Pakistan	Sikh Gurdwara
