slug_hint	name	location	category
bhai-sant-thawan-das-mandir	Bhai Sant Thawan Das Mandir	Old Shahi Bazar, Mehar, Dadu District, Sindh, Pakistan	Nanakpanthi / Udasi Darbar
bhai-waliram-darbar	Bhai Waliram Darbar	Digano Mahesar village, Miro Khan taluka, Qambar–Shahdadkot District, Sindh, Pakistan	Nanakpanthi / Udasi Darbar
gurdas-ram-mandir	Gurdas Ram Mandir	Radhan Town, Tehsil Mehar, Dadu District, Sindh, Pakistan	Nanakpanthi / Udasi Darbar
gurdwara-pehli-patshahi-jind-pir-sukkur	Gurdwara Pehli Patshahi (Jind Pir), Sukkur	Near the Sukkur–Rohri (Lansdowne/Ayub) railway bridge, Sukkur, Sindh, Pakistan	Nanakpanthi / Udasi Darbar
guru-gurpat-mandir-db-80-sirey-ghat	Guru Gurpat Mandir (DB-80 Sirey Ghat)	DB-80 Sirey Ghat, Hyderabad, Sindh, Pakistan	Nanakpanthi / Udasi Darbar
sain-vali-vilayat-rai-darbar-kambar	Sain Vali Vilayat Rai Darbar, Kambar	Shivalo mohalla, Kambar (Qambar) town, Qambar–Shahdadkot District, Sindh, Pakistan	Nanakpanthi / Udasi Darbar
sant-baba-asudaram-darbar-panno-aqil	Sant Baba Asudaram Darbar (Panno Aqil)	Panno Aqil (Pano Akil), Sukkur District, Sindh, Pakistan	Nanakpanthi / Udasi Darbar
sant-baba-bhagat-ram-darbar-mandir	Sant Baba Bhagat Ram Darbar Mandir	Shahi Bazar, Dadu, Sindh, Pakistan	Nanakpanthi / Udasi Darbar
sant-bhagat-kanwar-ram-temple-chak	Sant Bhagat Kanwar Ram Temple (Chak)	Chak, Shikarpur, Sindh, Pakistan	Nanakpanthi / Udasi Darbar
sant-satram-dham-raharki-sacho-satram-devri-sahib	Sant Satram Dham, Raharki (Sacho Satram / Devri Sahib)	Raharki (Raherki Sahib), Daharki Taluka, Ghotki District, Sindh, Pakistan	Nanakpanthi / Udasi Darbar
sevapanthi-darbar-bhai-gurdas-gandava	Sevapanthi Darbar (Bhai Gurdas), Gandava	Heart of Gandava (Gandawah) town, Jhal Magsi District, Balochistan, Pakistan	Nanakpanthi / Udasi Darbar
swami-dharmdas-darbar-larkana-kennedy-market	Swami Dharmdas Darbar, Larkana (Kennedy Market)	Kennedy Market area, Larkana, Larkana District, Sindh, Pakistan	Nanakpanthi / Udasi Darbar
