shrine	column	url	status	content_type	final_url	note	attempts	verdict
Allo Mahar	Image 1	https://upload.wikimedia.org/wikipedia/commons/f/f2/Shrine_Of_Allo_Mahar_sharif.jpg	206	image/jpeg			1	alive
Amb Temples (Amb Sharif)	Image 1	https://commons.wikimedia.org/wiki/Special:FilePath/Amb_sharif.jpg	206	image/jpeg	https://upload.wikimedia.org/wikipedia/commons/6/66/Amb_sharif.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original		1	alive
Bari Imam	Image 1	https://aalequtub.com/wp-content/uploads/2021/11/853px-pakistan-bari_imam_tomb-islamabad-40ibnezhar_sep_2016_2.jpg	206	image/jpeg			1	alive
Bhit (Bhit Shah)	Image 1	https://upload.wikimedia.org/wikipedia/commons/5/59/Dargah_Hazrat_Shah_Abdul_Latif_Bhittai_ra.jpg	206	image/jpeg			1	alive
Chandragup (Baba Chandragup)	Image 1	https://commons.wikimedia.org/wiki/Special:FilePath/Chandragup%20I%20Mud%20Volcano.jpg	206	image/jpeg	https://upload.wikimedia.org/wikipedia/commons/6/67/Chandragup_I_Mud_Volcano.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original		1	alive
Churrio Jabal Durga Mata Temple	Image 1	https://commons.wikimedia.org/wiki/Special:FilePath/Durga_Mata_Temple_4.jpg	206	image/jpeg	https://upload.wikimedia.org/wikipedia/commons/9/9c/Durga_Mata_Temple_4.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original		1	alive
Darbar Abul Muali Qadri	Image 1	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-01.jpg	206	image/jpeg			1	alive
Darbar Abul Muali Qadri	Image 2	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-02.jpg	206	image/jpeg			1	alive
Darbar Abul Muali Qadri	Image 3	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-03.jpg	206	image/jpeg			1	alive
Darbar Abul Muali Qadri	Image 4	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-04.jpg	206	image/jpeg			1	alive
Darbar Abul Muali Qadri	Image 5	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-05.jpg	206	image/jpeg			1	alive
Darbar Abul Muali Qadri	Image 6	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-06.jpg	206	image/jpeg			1	alive
Darbar Abul Muali Qadri	Image 7	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-07.jpg	206	image/jpeg			1	alive
Darbar Abul Muali Qadri	Image 8	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-08.jpg	206	image/jpeg			1	alive
Darbar Abul Muali Qadri	Image 9	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-09.jpg	206	image/jpeg			1	alive
Darbar Ghamkol Sharif (Zinda Pir)	Image 1	https://commons.wikimedia.org/wiki/Special:FilePath/Ghamkol_Shareef_Kohat,_KPK_Pakistan.jpg	206	image/jpeg	https://upload.wikimedia.org/wikipedia/commons/2/24/Ghamkol_Shareef_Kohat%2C_KPK_Pakistan.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original		1	alive
Darbar Ghazi Ilm Din Shaheed	Image 1	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-01.jpg	206	image/jpeg			1	alive
Darbar Ghazi Ilm Din Shaheed	Image 10	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-10.jpg	206	image/jpeg			1	alive
Darbar Ghazi Ilm Din Shaheed	Image 2	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-02.jpg	206	image/jpeg			1	alive
