slug	field	width	height	ratio	url
allo-mahar	Image 1	1024	1280	0.8000	https://upload.wikimedia.org/wikipedia/commons/f/f2/Shrine_Of_Allo_Mahar_sharif.jpg
amb-temples-amb-sharif	Image 1	4000	3000	1.3333	https://commons.wikimedia.org/wiki/Special:FilePath/Amb_sharif.jpg
bari-imam	Image 1	853	640	1.3328	https://aalequtub.com/wp-content/uploads/2021/11/853px-pakistan-bari_imam_tomb-islamabad-40ibnezhar_sep_2016_2.jpg
bhit-bhit-shah	Image 1	2446	1726	1.4171	https://upload.wikimedia.org/wikipedia/commons/5/59/Dargah_Hazrat_Shah_Abdul_Latif_Bhittai_ra.jpg
chandragup-baba-chandragup	Image 1	4032	3024	1.3333	https://commons.wikimedia.org/wiki/Special:FilePath/Chandragup%20I%20Mud%20Volcano.jpg
churrio-jabal-durga-mata-temple	Image 1	720	1280	0.5625	https://commons.wikimedia.org/wiki/Special:FilePath/Durga_Mata_Temple_4.jpg
darbar-abul-muali-qadri	Image 1	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-01.jpg
darbar-abul-muali-qadri	Image 2	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-02.jpg
darbar-abul-muali-qadri	Image 3	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-03.jpg
darbar-abul-muali-qadri	Image 4	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-04.jpg
darbar-abul-muali-qadri	Image 5	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-05.jpg
darbar-abul-muali-qadri	Image 6	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-06.jpg
darbar-abul-muali-qadri	Image 7	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-07.jpg
darbar-abul-muali-qadri	Image 8	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-08.jpg
darbar-abul-muali-qadri	Image 9	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/abul-muali-qadri/abul-muali-qadri-09.jpg
darbar-ghamkol-sharif-zinda-pir	Image 1	1280	960	1.3333	https://commons.wikimedia.org/wiki/Special:FilePath/Ghamkol_Shareef_Kohat,_KPK_Pakistan.jpg
darbar-ghazi-ilm-din-shaheed	Image 1	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-01.jpg
darbar-ghazi-ilm-din-shaheed	Image 2	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-02.jpg
darbar-ghazi-ilm-din-shaheed	Image 3	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-03.jpg
darbar-ghazi-ilm-din-shaheed	Image 4	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-04.jpg
darbar-ghazi-ilm-din-shaheed	Image 5	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-05.jpg
darbar-ghazi-ilm-din-shaheed	Image 6	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-06.jpg
darbar-ghazi-ilm-din-shaheed	Image 7	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-07.jpg
darbar-ghazi-ilm-din-shaheed	Image 8	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-08.jpg
darbar-ghazi-ilm-din-shaheed	Image 9	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-09.jpg
darbar-ghazi-ilm-din-shaheed	Image 10	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/ghazi-ilm-din-shaheed/ghazi-ilm-din-shaheed-10.jpg
darbar-hazrat-khawaja-feroz-ud-din-gharib-nawaz-chishti-nizami	Image 1	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-01.jpg
darbar-hazrat-khawaja-feroz-ud-din-gharib-nawaz-chishti-nizami	Image 2	1600	1200	1.3333	https://raufnawaz.github.io/Sufi-Shrines/photos/khawaja-feroz-ud-din-gharib-nawaz/khawaja-feroz-ud-din-gharib-nawaz-02.jpg
