name	source_id	type	citation
Amb Temples (Amb Sharif)	S6E664B	book	*Khushab District* and Soon Valley heritage surveys and archaeological notices.
Amb Temples (Amb Sharif)	S8AB11D	unclassified	Studies of Hindu Shahi temple architecture in the Salt Range and Gandhara.
Bari Imam	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Bhagnari Mandir	S18C6B9	encyclopaedia	"Wikipedia, ""Religion in Karachi"" and related entries on the city's Hindu heritage."
Bhagnari Mandir	S36BA25	unclassified	Journalistic and heritage accounts of the temples of the Mithadar and Lea Market quarters of old Karachi.
Bhagnari Mandir	S8BF391	press	"*The Karachi Walla*, ""City Landmarks – Bhagnari Temple""."
Bhai Sant Thawan Das Mandir	S4BC13D	register	Evacuee Trust Property Board (Pakistan), Functional Mandirs register.
Bhai Sant Thawan Das Mandir	S72EF8E	unclassified	Zulfiqar Ali Kalhoro, published surveys of Nanakpanthi saints and shrines of Sindh (for wider regional context; this specific site is not covered).
Bhai Waliram Darbar	S72EF8E	unclassified	Zulfiqar Ali Kalhoro, published surveys of Nanakpanthi saints and shrines of Sindh.
Bhit (Bhit Shah)	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Bhit (Bhit Shah)	SD3B81E	primary text	Shah Abdul Latif Bhittai, *Shah Jo Risalo* (his collected Sindhi poetry; line quoted in standard published wording).
Chandragup (Baba Chandragup)	S5871CF	encyclopaedia	"Wikipedia, ""Chandragup"" and ""Hinglaj Yatra."""
Chandragup (Baba Chandragup)	S59D52D	unclassified	Published accounts and photo-documentation of the annual Hinglaj pilgrimage.
Churrio Jabal Durga Mata Temple	S3E9019	monograph	Sindh High Court judgment (October 2023) on the protection of the Karoonjhar mountains.
Churrio Jabal Durga Mata Temple	SB47987	unclassified	Studies of Hindu communities and sacred geography in Tharparkar and Nagarparkar.
Churrio Jabal Durga Mata Temple	SFE6173	press	Reporting in *Dawn* and the Sindhi press on the Maha Shivratri pilgrimage to Churrio Jabal.
Darbar Abul Muali Qadri	S79F3AF	unclassified	majzūb* encounter to 980, placing it after his arrival at Lahore. Both dates are
Darbar Abul Muali Qadri	SA443FA	unclassified	ʿurs*. Not copied into year_built as a construction date; see year_built_note.
Darbar Hazrat Khawaja Shah Muhammad Sulaiman Taunsvi (R.A)	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Darbar Sakhi Shah Chan Charagh	S0B4534	press	Reports in *Dawn* on the annual *urs* and Muharram observances at the shrine of Shah Chan Charagh, Rawalpindi.
Darbar Sakhi Shah Chan Charagh	S42DCE2	tazkira	"Local hagiographical (*malfuzat* and *tazkira*) traditions concerning Sayyid Shah Zaman ""Chan Charagh"" and his lineage."
Darbar Sakhi Shah Chan Charagh	S8691FC	gazetteer	*Rawalpindi District Gazetteer* (Punjab Government, colonial-era editions), for the topography and religious life of the old city.
Dargah / Roza Sufi Shah Inayat Shaheed	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Dargah Fateh Pur Sharif	S60F19C	monograph	"Michel Boivin, ""At the Crossroads of Sufism and Vedanta: The Building of an Interfaith Dialogue in Colonial and Post-Colonial Sindh and Beyond,"" in Naveed Ahmad Tahir (ed.), *The Issue of Religious Harmony in Europe, South Asia and the Middle East* (Karachi: Area Study Centre for Europe, 2015)."
Dargah Fateh Pur Sharif	S844147	monograph	Michel Boivin, *South Asian Sufis: Devotion, Deviation, and Destiny* (London: Bloomsbury, 2012).
Dargah Fateh Pur Sharif	S8B724B	book	Rakhyal Shah, *Bahar al-'ishq* (the saint's collected Sufi poetry).
Dargah Fateh Pur Sharif	SD99A18	encyclopaedia	"""Rakhyal Shah,"" *Wikipedia* (citing Boivin and contemporary press coverage)."
Dargah Fateh Pur Sharif	SDB110C	unclassified	Government of Balochistan, Culture Department — portal listing the shrines and Sufi heritage of Balochistan.
Dargah Pir Ratan Nath Jee	S0206C9	book	George Weston Briggs, *Gorakhnath and the Kanphata Yogis* (the standard study of the Nath order).
Dargah Pir Ratan Nath Jee	S10F490	book	David Gordon White, *The Alchemical Body: Siddha Traditions in Medieval India* (University of Chicago Press).
Dargah Pir Ratan Nath Jee	S24F0F3	press	Contemporary press coverage of Peshawar's surviving Hindu temples (Dawn, The Express Tribune).
Dargah Pir Ratan Nath Jee	S84243F	register	Directorate of Archaeology & Museums, Khyber Pakhtunkhwa, site documentation for Peshawar's temples.
Dargah Pir Ratan Nath Jee	SDD437C	unclassified	Studies of the pre-Partition Hindu community of Peshawar and the Gor Khatri complex.
Darya Lal Mandir (Darya Lal Sankat Mochan Mandir)	S18C479	unclassified	Endowment Fund Trust for Preservation of the Heritage of Sindh, documentation on Karachi temples.
Darya Lal Mandir (Darya Lal Sankat Mochan Mandir)	S4BDF54	encyclopaedia	"Wikipedia, ""Darya Lal Mandir"" (with cited sources)."
Darya Lal Mandir (Darya Lal Sankat Mochan Mandir)	SD48617	book	Michel Boivin, *Historical Dictionary of the Sufi Culture of Sindh*, for the shared veneration of the river-lord.
Darya Lal Mandir (Darya Lal Sankat Mochan Mandir)	SD8582B	press	*Dawn* and *The Express Tribune*, reports on the Darya Lal Mandir and its 2015 renovation.
Data Darbar	S0BE5A4	primary text	Ali ibn Usman al-Hujwiri, *Kashf al-Mahjub* (“The Unveiling of the Veiled”) — the saint’s own Persian treatise on Sufism (Urdu translations in the project collection).
Data Darbar	S23D638	book	*Seerat Hazrat Ali Hajveri*; *Seerat Hazrat Data Ganj Bakhsh Rehmatullah Alaih* — Urdu biographies.
Data Darbar	S6EE840	book	*Exegetical Notes of the Holy Qur’an by Shaykh Hujwiri* — a compilation of Qur’anic commentary attributed to the saint.
Data Darbar	S7F6CA7	field survey	Shrines Project field survey, Data Darbar responses (surveyor: Saifullah Imtiaz), 2026.
Data Darbar	S817FB0	book	*Fatih-e-Quloob: Syeduna Data Ganj Bakhsh Ali Hajveri* — Urdu biography/devotional study.
Data Darbar	SA1BD17	book	*Hadrat Data Ganj Bakhsh* and *Maslik-e-Data Ganj Bakhsh* — Urdu studies of his life and path.
Data Darbar	SD9A579	book	*Hazrat Data Ali Hajvairy* — by Anwar-e-Raza.
Eidgah Sharif	S261C45	book	Published biographical and devotional literature issued by the *darbar* of Eidgah Sharif concerning its founding elders and their spiritual succession.
Eidgah Sharif	S49EA2D	unclassified	Contemporary Pakistani press coverage of the *urs* and *milad* gatherings at Eidgah Sharif and of its custodians.
Eidgah Sharif	S784A11	tazkira	General histories of the Chishti order in South Asia, e.g. K. A. Nizami, *The Life and Times of Shaikh Nizam-ud-din Auliya* and studies of the Chishti-Nizami *silsila*.
Eidgah Sharif	S995ADB	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (biographical accounts of the saints and shrines of Pakistan).
Eidgah Sharif	SFE070B	gazetteer	District Gazetteer of Rawalpindi (Punjab Government gazetteer series), for the local history and topography of the Rawalpindi district.
Garh Maharaja (Shorkot)	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Garh Maharaja (Shorkot)	SBE74EA	primary text	Sultan Bahu, *Abyat-e-Bahu* (his Punjabi quatrains; verse quoted in standard published wording).
Golra Sharif	S97322F	tazkira	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
Golra Sharif	SC6DEDB	book	Works of and about Pir Meher Ali Shah (e.g., *Saif-e-Chishtiyai*).
Gorakhnath (Goraknath) Temple	S421D62	unclassified	Excavation reports associated with Professor Farzand Ali Durrani and Professor Ihsan Ali on the Gor Khatri stratigraphy.
Gorakhnath (Goraknath) Temple	S740539	unclassified	Documentation of the Directorate General of Archaeology & Museums, Khyber Pakhtunkhwa, on Gor Khatri and the Goraknath Temple.
Gorakhnath (Goraknath) Temple	S9CFBAB	book	George Weston Briggs, *Gorakhnath and the Kanphata Yogis*, on Gorakhnath and the *Nath* tradition.
Gorakhnath (Goraknath) Temple	SA41E0C	unclassified	Mughal-era accounts and histories of Peshawar noting Jahan Ara Begum's Sarai Jahanabad.
Gorakhnath (Goraknath) Temple	SC78ACE	monograph	Press coverage of the 2011 reopening of the temple following the Peshawar High Court ruling.
Gurdas Ram Mandir	S4BC13D	register	Evacuee Trust Property Board (Pakistan), Functional Mandirs register.
