source_id	type	n_shrines	citation
S97322F	tazkira	26	Alam Faqri, *Tazkirah Awliya-e-Pakistan* (Lahore) — compendium of the saints of Pakistan.
S120313	tazkira	11	Alam Faqri, *Tazkirah Awliya-e-Pakistan*, vol. 2 (Lahore) — compendium of the saints of Pakistan.
S98AD1C	tazkira	5	Alam Faqri, *Tazkirah Awliya-e-Pakistan*, vol. 1 (Lahore) — compendium of the saints of Pakistan.
S7014E9	encyclopaedia	3	Singh, Harbans (ed.). *The Encyclopaedia of Sikhism*. Patiala: Punjabi University.
S4FF09D	monograph	3	Max Arthur Macauliffe, *The Sikh Religion: Its Gurus, Sacred Writings and Authors* (Oxford, 1909).
SA100DF	monograph	3	Iqbal Qaiser, *Historical Sikh Shrines in Pakistan* (Lahore: Punjabi History Board, 1998).
SD4BE7E	monograph	3	Singh, Khushwant. *A History of the Sikhs*, Vol. 1. Oxford University Press.
SCCC678	press	3	"Zulfiqar Ali Kalhoro, ""Nanakpanthi Saints of Sindh,"" *The Friday Times*, 13 April 2018."
S4BC13D	register	3	Evacuee Trust Property Board (Pakistan), Functional Mandirs register.
S158C4B	book	2	Patwant Singh, *The Sikhs* (Knopf/Doubleday).
SF814AA	book	2	Cousens, Henry. *The Antiquities of Sindh, with Historical Outline*. Archaeological Survey of India.
S128C29	encyclopaedia	2	Harbans Singh (ed.), *The Encyclopaedia of Sikhism* (Punjabi University, Patiala).
S62863A	monograph	2	Jürgen Schaflechner, *Hinglaj Devi: Identity, Change, and Solidification at a Hindu Temple in Pakistan* (Oxford University Press; Pakistan pbk. 2020).
SE90A11	monograph	2	W. H. McLeod, *Guru Nanak and the Sikh Religion* (Oxford University Press, 1968).
S1E830A	monograph	2	Macauliffe, Max Arthur. *The Sikh Religion: Its Gurus, Sacred Writings and Authors*. Oxford: Clarendon Press.
S0B3680	monograph	2	"Zulfiqar Ali Kalhoro, ""The Magnificent Khatwari Darbar in Shikarpur,"" *Youlin Magazine*, 6 June 2024."
S7DFD97	monograph	2	Jürgen Wasim Frembgen, *Journey to God: Sufis and Dervishes in Islam* (Oxford University Press, 2008).
S2C1284	monograph	2	Katherine Ewing, *Arguing Sainthood: Modernity, Psychoanalysis, and Islam* (Duke University Press, 1997).
SE24967	monograph	2	Reema Abbasi, *Historic Temples in Pakistan: A Call to Conscience* (Niyogi Books).
S364562	monograph	2	"""Culture & Heritage,"" Jhal Magsi District Government of Balochistan, archived 26 April 2025, http://web.archive.org/web/20250426101741/https://jhalmagsi.balochistan.gov.pk/culture-heritage/."
S0F10C8	press	2	"Zulfiqar Ali Kalhoro, ""Gurus in Shikarpur,"" *The Friday Times*, 12 January 2018."
S8516CE	press	2	"Qaiser Shirazi, ""Rawalpindi's Hindu heritage fades,"" *The Express Tribune*, 16 December 2025."
S04852E	press	2	"""Pindi lit up as Hindus celebrate 'Festival of Lights',"" *The Express Tribune*, 1 November 2024."
S799AEB	press	2	"Qaiser Shirazi, ""A tale of overlooked places of worship,"" *The Express Tribune*, 23 January 2023."
SB70BFB	press	2	"Sheikh Javed Ali Sindhi, ""Heritage: A Refuge and Fort for Ancient Armies,"" *Dawn*, 22 December 2019."
S7515D3	primary text	2	*The Janamsakhi Tradition* (traditional biographies of Guru Nanak).
S475079	register	2	Evacuee Trust Property Board (Pakistan), Functional Gurdwaras register.
S3674E3	register	2	Records of the Evacuee Trust Property Board, Government of Pakistan.
S72EF8E	unclassified	2	Zulfiqar Ali Kalhoro, published surveys of Nanakpanthi saints and shrines of Sindh (for wider regional context; this specific site is not covered).
S18C479	unclassified	2	Endowment Fund Trust for Preservation of the Heritage of Sindh, documentation on Karachi temples.
S2A15F4	unclassified	2	Pilgrimage guides to the historic gurdwaras of Nankana Sahib.
S6E664B	book	1	*Khushab District* and Soon Valley heritage surveys and archaeological notices.
S8B724B	book	1	Rakhyal Shah, *Bahar al-'ishq* (the saint's collected Sufi poetry).
S0206C9	book	1	George Weston Briggs, *Gorakhnath and the Kanphata Yogis* (the standard study of the Nath order).
S10F490	book	1	David Gordon White, *The Alchemical Body: Siddha Traditions in Medieval India* (University of Chicago Press).
SD48617	book	1	Michel Boivin, *Historical Dictionary of the Sufi Culture of Sindh*, for the shared veneration of the river-lord.
S817FB0	book	1	*Fatih-e-Quloob: Syeduna Data Ganj Bakhsh Ali Hajveri* — Urdu biography/devotional study.
SD9A579	book	1	*Hazrat Data Ali Hajvairy* — by Anwar-e-Raza.
S23D638	book	1	*Seerat Hazrat Ali Hajveri*; *Seerat Hazrat Data Ganj Bakhsh Rehmatullah Alaih* — Urdu biographies.
SA1BD17	book	1	*Hadrat Data Ganj Bakhsh* and *Maslik-e-Data Ganj Bakhsh* — Urdu studies of his life and path.
