name	support_level	info_level	n_specific_sources	n_generic_lines	word_count	words_per_source
Allo Mahar	Web-compiled	Low	0	1	224	224.0
Amb Temples (Amb Sharif)	Source-seeded	Moderate	1	2	630	630.0
Bari Imam	Source-seeded	Moderate	1	1	418	418.0
Bhagnari Mandir	Source-seeded	Moderate	1	1	655	655.0
Bhai Sant Thawan Das Mandir	Source-seeded	Moderate	1	0	273	273.0
Bhai Waliram Darbar	Web-compiled	Low	0	0	149	149.0
Bhit (Bhit Shah)	Source-documented	Moderate	2	1	662	331.0
Chandragup (Baba Chandragup)	Web-compiled	Low	0	0	229	229.0
Churrio Jabal Durga Mata Temple	Source-documented	Moderate	2	1	634	317.0
Darbar Abul Muali Qadri	Web-compiled	Low	0	0	1471	1471.0
Darbar Ghamkol Sharif (Zinda Pir)	Web-compiled	Low	0	0	211	211.0
Darbar Hazrat Khawaja Shah Muhammad Sulaiman Taunsvi (R.A)	Source-seeded	Moderate	1	1	381	381.0
Darbar Hazrat Shah Gohar Peer	Web-compiled	Low	0	0	899	899.0
Darbar Malik Ahmad Ayaz	Web-compiled	Low	0	0	1189	1189.0
Darbar Mian Qurban Ali Shah	Web-compiled	Low	0	0	888	888.0
Darbar Sakhi Shah Chan Charagh	Source-documented	Moderate	3	1	772	257.3
Dargah / Roza Sufi Shah Inayat Shaheed	Source-seeded	Moderate	1	1	444	444.0
Dargah Fateh Pur Sharif	Source-documented	Moderate	3	0	707	235.7
Dargah Pir Ratan Nath Jee	Source-documented	Moderate	4	0	592	148.0
Dargah of Khwaja Muhammad Zaman (Luari Sharif)	Web-compiled	Low	0	0	268	268.0
Dargah of Pir Muhammad Rashid (Roze Dhani), Pir Jo Goth	Web-compiled	Low	0	0	229	229.0
Darya Lal Mandir (Darya Lal Sankat Mochan Mandir)	Source-documented	Moderate	2	0	549	274.5
Data Darbar	Field-verified	Full	6	0	2477	412.8
Eidgah Sharif	Source-documented	Moderate	4	0	835	208.8
Garh Maharaja (Shorkot)	Source-documented	Moderate	2	1	617	308.5
Golra Sharif	Source-documented	Moderate	2	1	559	279.5
Gorakhnath (Goraknath) Temple	Source-documented	Moderate	2	0	730	365.0
Gori Temple (Gori jo Mandar)	Web-compiled	Low	0	0	233	233.0
Gurdas Ram Mandir	Source-seeded	Moderate	1	0	269	269.0
Gurdwara Babay De Ber	Source-documented	Moderate	2	0	686	343.0
Gurdwara Babay Nanki	Source-documented	Moderate	3	0	546	182.0
Gurdwara Balila Sahib (Bal Lila Sahib)	Source-documented	Moderate	4	0	714	178.5
Gurdwara Baoli Sahib (Guru Arjan Dev Ji), Lahore	Web-compiled	Low	0	0	246	246.0
Gurdwara Bhai Beba Singh	Source-documented	Moderate	3	0	583	194.3
Gurdwara Bhai Joga Singh	Source-seeded	Moderate	1	0	526	526.0
Gurdwara Chakki Sahib	Web-compiled	Low	0	0	259	259.0
Gurdwara Chhevin Patshahi, Chitti Gatti	Web-compiled	Low	0	0	218	218.0
Gurdwara Chhevin Patshahi, Jhalian (Jhalian Dhilwan)	Web-compiled	Low	0	0	297	297.0
Gurdwara Chhevin Patshahi, Mozang	Source-documented	Moderate	2	0	218	109.0
Gurdwara Choa Sahib	Web-compiled	Low	0	0	226	226.0
Gurdwara Chowmala Sahib	Source-seeded	Moderate	1	0	164	164.0
Gurdwara Darbar Sahib Kartarpur	Source-documented	Moderate	5	0	819	163.8
Gurdwara Dash Mesh Pita	Source-seeded	Moderate	1	0	274	274.0
Gurdwara Dera Sahib	Source-documented	Moderate	5	0	766	153.2
Gurdwara Guru Ram Das Ji	Source-documented	Moderate	3	0	637	212.3
Gurdwara Khoohi Bhai Lalo (Bhai Lalo di Khooi)	Web-compiled	Low	0	0	280	280.0
Gurdwara Malji Sahib	Web-compiled	Low	0	0	263	263.0
Gurdwara Panja Sahib	Source-documented	Moderate	5	0	799	159.8
Gurdwara Panjvi Chati Patshahi	Source-seeded	Moderate	1	0	484	484.0
Gurdwara Patshahi Chhevin (Hadiara), Lahore	Web-compiled	Low	0	0	208	208.0
Gurdwara Patti Sahib	Source-documented	Moderate	2	0	660	330.0
Gurdwara Pehli Patshahi (Jind Pir), Sukkur	Web-compiled	Low	0	0	199	199.0
Gurdwara Rori Sahib	Source-documented	Moderate	4	0	724	181.0
Gurdwara Sach Khand Sahib	Source-documented	Moderate	3	0	405	135.0
Gurdwara Sacha Sauda	Source-documented	Moderate	4	0	515	128.8
Gurdwara Sahib Saidpur (Guru Nanak Dev Ji)	Web-compiled	Low	0	0	210	210.0
Gurdwara Shaheed Bhai Taru Singh	Source-documented	Moderate	4	0	633	158.2
Gurdwara Shaheed Ganj Singh Singhnian	Source-documented	Moderate	4	0	547	136.8
Gurdwara Singh Sabha	Source-documented	Moderate	2	0	513	256.5
Gurdwara Sri Kiara Sahib	Source-documented	Moderate	2	0	666	333.0
Gurdwara Sri Tilganji Sahib	Web-compiled	Low	0	0	199	199.0
Gurdwara Tambo Sahib	Source-documented	Moderate	2	0	529	264.5
Guru Gurpat Mandir (DB-80 Sirey Ghat)	Source-documented	Moderate	2	1	538	269.0
Gurudwara Janam Asthan Nankana Sahib	Source-documented	Moderate	5	0	796	159.2
Jagannath Temple, Sialkot	Source-documented	Moderate	2	0	320	160.0
Jain Mandir, Lahore	Web-compiled	Low	0	0	269	269.0
Jhollay Lal Mandir	Source-seeded	Moderate	1	1	343	343.0
Kalat Kali Temple	Web-compiled	Low	0	0	202	202.0
Kali Bari Mandir	Source-documented	Moderate	3	0	506	168.7
Kalka Cave Temple (Asthan of Kalka Devi)	Source-documented	Moderate	2	0	582	291.0
Katas Raj Temples	Source-documented	Moderate	4	0	766	191.5
Khatwari Darbar, Shikarpur	Web-compiled	Low	0	0	230	230.0
Krishna Mandir (Kabari Bazar)	Source-documented	Moderate	2	0	536	268.0
Krishna Mandir (Ravi Road)	Source-documented	Moderate	2	0	507	253.5
Lal Kurti Temple (Balmiki Mandir), Rawalpindi	Web-compiled	Low	0	0	231	231.0
Lal Shahbaz Qalandar	Source-documented	Moderate	2	1	720	360.0
Langer Makhdoom	Source-documented	Moderate	3	1	616	205.3
Loh Temple (Lava Temple)	Web-compiled	Low	0	0	291	291.0
Mausoleum of Waris Shah	Source-documented	Moderate	2	1	664	332.0
Mazar of Bulleh Shah	Source-documented	Moderate	2	1	766	383.0
Mithankot (Kot Mithan)	Source-documented	Moderate	2	1	566	283.0
Mohra Sharif (Khanqah)	Web-compiled	Low	0	0	217	217.0
Nagarparkar Jain Temples (Nagarparkar Cultural Landscape)	Source-documented	Moderate	3	0	622	207.3
Panj Tirath	Source-documented	Moderate	4	0	610	152.5
Parnami Mandir	Source-documented	Moderate	2	0	655	327.5
Prahladpuri Temple	Source-documented	Moderate	3	1	691	230.3
Purana Bhalwal	Source-documented	Moderate	4	0	560	140.0
Rahman Baba Mausoleum (Rehman Baba Shrine)	Source-documented	Moderate	2	1	542	271.0
Ram Mandir, Saidpur (Ram Kund Mandir)	Web-compiled	Low	0	0	250	250.0
Ramapir Temple, Tando Allahyar	Source-documented	Moderate	3	0	658	219.3
Ranmal Sharif	Source-seeded	Moderate	1	1	354	354.0
Sadh Belo (Sadh Belo Island Temple)	Source-documented	Moderate	2	0	696	348.0
Sain Vali Vilayat Rai Darbar, Kambar	Web-compiled	Low	0	0	271	271.0
Sakhi Sarwar	Source-seeded	Moderate	1	1	418	418.0
Samadhi of Maharaja Ranjit Singh	Web-compiled	Low	0	0	287	287.0
Sant Baba Asudaram Darbar (Panno Aqil)	Web-compiled	Low	0	0	229	229.0
Sant Baba Bhagat Ram Darbar Mandir	Source-documented	Moderate	2	0	569	284.5
Sant Bhagat Kanwar Ram Temple (Chak)	Web-compiled	Low	0	0	213	213.0
Sant Satram Dham, Raharki (Sacho Satram / Devri Sahib)	Web-compiled	Low	0	0	256	256.0
Sevapanthi Darbar (Bhai Gurdas), Gandava	Web-compiled	Low	0	0	314	314.0
Shah Noorani Shrine (Syed Bilawal Shah Noorani)	Source-seeded	Moderate	1	1	392	392.0
Shah Yousuf	Source-seeded	Moderate	1	1	355	355.0
Shahwala Teja Singh Mandir	Source-documented	Moderate	4	0	562	140.5
Shaktipeeth Shri Hinglaj Mata Mandir	Source-documented	Moderate	4	0	731	182.8
Shamsabad	Source-documented	Moderate	5	0	592	118.4
Sharada Peeth	Source-documented	Moderate	4	0	715	178.8
Shergarh	Source-seeded	Moderate	1	1	350	350.0
Shiv Mandir Chiti Ghati	Source-documented	Moderate	3	0	525	175.0
Shree Ratneshwar Mahadev Temple, Karachi	Source-documented	Moderate	2	0	566	283.0
Shri Laxmi Narayan Mandir (Native Jetty Bridge)	Source-documented	Moderate	2	0	531	265.5
Shri Panchmukhi Hanuman Mandir (Karachi)	Source-documented	Moderate	4	0	523	130.8
Shri Swaminarayan Mandir, Karachi	Source-documented	Moderate	4	0	504	126.0
