# TERMBASE v1.0 — controlled vocabulary and romanisation authority for a public archive of religious shrines in Pakistan.
# ROMANISATION CONVENTION (LIGHT): long vowels marked with macrons only (a i u -> ā ī ū). ʿayn = ʿ (U+02BF). hamza = ʾ (U+02BE). NO under-dots and NO over-dots: write h s t d z n r s (not ḥ ṣ ṭ ḍ ẓ ṇ ṛ ś). Digraphs kh gh ch sh zh th dh ph. Sanskrit/Prakrit c -> ch (āchārya, chhatri), ś/ṣ -> sh, ṛ -> ri (garbhagriha), ṅ/ṃ -> n/m. Arabic definite article always "al-" and hyphenated (Rabīʿ al-Awwal), never "ul-" or "us-". Izāfat rendered "-e-" (Ahl-e-Sunnat, Shab-e-Barāt). Final silent -h dropped (fātiha not fātihah; khānqāh keeps -h because it is pronounced). Proper nouns capitalised and NOT italicised.
# COLUMNS: canonical <TAB> script <TAB> variants (semicolon-delimited, normalise TO canonical) <TAB> category <TAB> gloss <TAB> translate
# TRANSLATE VALUES: NO = keep the romanised term, italicised, with the gloss on first use in an entry. YES = do not use the foreign term in running prose, use the English gloss instead. NAME = proper noun, use as written, capitalised, roman (not italic), never translated.
# EMPTY script CELL = the compiler was not confident of the script rendering. Do not fill it by guessing.
# CATEGORIES: SUFI_ORDER OFFICE_TITLE RITUAL ARCHITECTURE CALENDAR PLACE TRADITION INSTITUTION
canonical	script	variants	category	gloss	translate
silsila	سلسلہ	silsilah;silsilla;silsile;sisila;silsala	SUFI_ORDER	initiatic lineage of a Sufi order, transmitted master to disciple	NO
tarīqa	طریقہ	tariqa;tariqah;tareeqa;tariqat;tareeqat;tariqua	SUFI_ORDER	Sufi path or order; also the second of the four stages of the Sufi way	NO
shajra	شجرہ	shajrah;shijra;shajra-e-nasab;shajra sharif	SUFI_ORDER	written spiritual genealogy linking a pīr back through the silsila	NO
khānwāda	خانوادہ	khanwada;khandan;khanwadah;khanwara	SUFI_ORDER	house or family branch of a Sufi order	NO
nisbat	نسبت	nisbah;nisbet	SUFI_ORDER	spiritual affiliation or connection to a master or order	NO
tasawwuf	تصوف	tasawuf;tassawuf;tasawwof	SUFI_ORDER	Sufism; the discipline of Islamic mysticism	NO
Chishti	چشتی	Chisti;Chishty;Chishtia;Chishtiya;Chishtiyya;Chestee;Cheshti	SUFI_ORDER	Sufi order founded in Chisht, dominant in South Asia	NAME
Chishti-Nizami	چشتی نظامی	Chishtia Nizamia;Chishti Nizamiya;Nizami Chishti;Chisti Nizami;Nizamia	SUFI_ORDER	branch of the Chishti order descending from Nizamuddin Auliya	NAME
Chishti-Sabiri	چشتی صابری	Chishtia Sabria;Sabri Chishti;Chishti Sabiriya;Chisti Sabri;Sabria	SUFI_ORDER	branch of the Chishti order descending from Alauddin Ali Ahmad Sabir of Kaliyar	NAME
Suhrawardi	سہروردی	Suharwardi;Sohrawardi;Suhrwardi;Suhurwardi;Shurawardi;Suhrawardiyya;Suhrawardia;Sahrwardi	SUFI_ORDER	Sufi order established in Multan by Bahauddin Zakariya	NAME
Qadiri	قادری	Qadri;Kadri;Qaderi;Qadiriyya;Qadiria;Qadriya;Quadri	SUFI_ORDER	Sufi order tracing to Abdul Qadir Jilani of Baghdad	NAME
Naqshbandi	نقشبندی	Naqshbandia;Naqshbandiyya;Naqshbandiya;Nakshbandi;Naqshabandi;Naqshbendi	SUFI_ORDER	Sufi order tracing to Bahauddin Naqshband of Bukhara, known for silent dhikr	NAME
Naqshbandi-Mujaddidi	نقشبندی مجددی	Naqshbandia Mujaddidia;Mujaddadi;Mujadidi;Mujaddidiya;Naqshbandi Mujadadi	SUFI_ORDER	Naqshbandi branch renewed by Ahmad Sirhindi, the Mujaddid-e-Alf-e-Sani	NAME
Qalandari	قلندری	Qalandaria;Kalandari;Qalanderi;Qalandariyya;Kalandri	SUFI_ORDER	antinomian Sufi tendency of wandering ascetics	NAME
